role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
LEFT	1	22589744	5.01609142995657731e-1	9.56920802598145599e1	-1.05780209520472113e0	-8.53114702777291001e0	3.70105159335021142e2	3.70158480862870761e2	8.53113586669447876e0	3.70292049698210690e2	3.71597188918031520e2	-2.75994745385285811e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32250048067127635e0	3.34895935150341018e0
GROUP	1	22589745	5.01609142995657842e-1	9.56920802604790026e1	-1.05780209454820806e0	-8.53114703456548895e0	3.70105159335021369e2	3.70158480862870988e2	8.53113586656717082e0	3.70292049698208984e2	3.71597188918028223e2	-2.75994748324764534e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32250048067127723e0	3.34895935150288837e0
GROUP	1	22589746	5.01609142995657842e-1	9.56920802615791928e1	-1.05780209344801790e0	-8.53114695961846792e0	3.70105159335021369e2	3.70158480862870988e2	8.53113586649933708e0	3.70292049698208245e2	3.71597188918026461e2	-2.75994749939735594e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32250048067127679e0	3.34895935150260948e0
RIGHT	1	22589747	5.01609142995657953e-1	9.56920802623883873e1	-1.05780209264673886e0	-8.53114695560647363e0	3.70105159335021312e2	3.70158480862870931e2	8.53113586641285515e0	3.70292049698207450e2	3.71597188918024017e2	-2.75994752121140497e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32250048067127635e0	3.34895935150225421e0
LEFT	2	22850870	5.06721215922079971e-1	9.58550811312315005e1	-1.05108207974632251e0	-8.25821897867064258e0	3.74913704837022351e2	3.74967719138226869e2	8.25820984479850395e0	3.75097408184367339e2	3.76398640770312625e2	-1.46872154620205026e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32140994794975075e0	3.41223394203254049e0
GROUP	2	22850871	5.06721215922080082e-1	9.58550811317077205e1	-1.05108207926217290e0	-8.25821898879252103e0	3.74913704837022692e2	3.74967719138227210e2	8.25820984460609075e0	3.75097408184364838e2	3.76398640770307679e2	-1.46872154938610589e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32140994794975075e0	3.41223394203123487e0
GROUP	2	22850872	5.06721215922080082e-1	9.58550811308176236e1	-1.05108208015226978e0	-8.25821902128486229e0	3.74913704837022749e2	3.74967719138227267e2	8.25820984452550810e0	3.75097408184363985e2	3.76398640770305406e2	-1.46872155080251693e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32140994794975075e0	3.41223394203068864e0
RIGHT	2	22850873	5.06721215922080193e-1	9.58550811321296834e1	-1.05108207883625937e0	-8.25821894234793774e0	3.74913704837022919e2	3.74967719138227437e2	8.25820984441720185e0	3.75097408184362621e2	3.76398640770302450e2	-1.46872155277125257e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32140994794975075e0	3.41223394202995500e0
LEFT	3	22998969	5.09982071421210992e-1	-3.68967891743436738e0	9.51305513253621911e1	8.76139372806670735e0	3.70717838933208043e2	3.70771248730597904e2	8.76138276264910409e0	3.70908247745288747e2	3.72216653770048651e2	-1.12940186758544105e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32575371780239015e0	3.42248817938174899e0
GROUP	3	22998970	5.09982071421211103e-1	-3.68967891741481724e0	9.51305513253895612e1	8.76139372556070839e0	3.70717838933208270e2	3.70771248730598131e2	8.76138276252078718e0	3.70908247745287213e2	3.72216653770045127e2	-1.12940187017843353e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32575371780239060e0	3.42248817938117966e0
GROUP	3	22998971	5.09982071421211103e-1	-3.68967891607902398e0	9.51305513267253673e1	8.76139373005088373e0	3.70717838933208327e2	3.70771248730598188e2	8.76138276245246139e0	3.70908247745286474e2	3.72216653770043251e2	-1.12940187157873671e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32575371780239148e0	3.42248817938087635e0
RIGHT	3	22998972	5.09982071421211214e-1	-3.68967891949274396e0	9.51305513233194802e1	8.76139372519673998e0	3.70717838933208384e2	3.70771248730598245e2	8.76138276236524227e0	3.70908247745285450e2	3.72216653770041091e2	-1.12940187315692731e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32575371780239282e0	3.42248817938048910e0
LEFT	4	23258811	5.15070838835970379e-1	-3.49242371403810647e0	9.25563688039280947e1	8.15322071188671771e0	3.75545852120097265e2	3.75599957495576518e2	8.15321148658521366e0	3.75728058266379151e2	3.77027777518494588e2	-1.82852179628093353e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32409160263784109e0	3.36812051191871031e0
GROUP	4	23258812	5.15070838835970490e-1	-3.49242371401306384e0	9.25563688039451904e1	8.15322071408104421e0	3.75545852120097550e2	3.75599957495576803e2	8.15321148644588156e0	3.75728058266377332e2	3.77027777518490950e2	-1.82852182858811142e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32409160263784065e0	3.36812051191780437e0
