runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.007	LL06	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
15.023	LL06	10.011077	1.64838713846605853e-2	2.535980	1.646563267667e-3	241868	false	0	0
25.038	LL06	20.114413	2.51122183036224592e-2	3.863418	8.540096515589e-4	481952	false	0	0
35.052	LL06	30.209411	3.35783905214198375e-2	5.165906	8.386502297709e-4	713722	false	0	0
45.065	LL06	40.304811	4.63963016140203771e-2	7.137893	1.269678335658e-3	941793	false	0	0
55.081	LL06	50.404475	5.73634577448983995e-2	8.825147	1.085893230107e-3	1134976	false	0	0
65.095	LL06	60.501153	6.01191751630733434e-2	9.249104	2.729330748782e-4	1287396	false	0	0
75.110	LL06	70.592773	6.62186437722770554e-2	10.187484	6.044092857100e-4	1448737	false	0	0
85.122	LL06	80.601110	6.91699780734400527e-2	10.641535	2.948875823389e-4	1602848	false	0	0
95.137	LL06	90.617782	7.46762987536227080e-2	11.488661	5.497155821996e-4	1764046	false	0	0
105.152	LL06	100.702956	7.78115710982074799e-2	11.971011	3.108793378537e-4	1924487	false	0	0
115.167	LL06	110.804097	8.26777587789161855e-2	12.719655	4.817463652440e-4	2087764	false	0	0
125.182	LL06	120.907005	8.56965369211954014e-2	13.184083	2.988028810792e-4	2243100	false	0	0
135.197	LL06	130.991304	8.91665257232290981e-2	13.717927	3.440981571353e-4	2401405	false	0	0
145.211	LL06	141.070403	9.21265119429616475e-2	14.173310	2.936756949485e-4	2553881	false	0	0
155.226	LL06	151.142529	9.52388352458701098e-2	14.652128	3.090035878379e-4	2711192	false	0	0
165.240	LL06	161.246226	9.83835135561645369e-2	15.135925	3.112403746639e-4	2868906	false	0	0
175.255	LL06	171.342852	1.01467860393322576e-1	15.610440	3.054829181172e-4	3025255	false	0	0
185.270	LL06	181.428751	1.06578397725274637e-1	16.396677	5.067012266621e-4	3185266	false	0	0
195.282	LL06	191.442081	1.09157541206246753e-1	16.793468	2.575710038113e-4	3333714	false	0	0
205.297	LL06	201.521144	1.13572352016671985e-1	17.472670	4.380179740590e-4	3492313	false	0	0
215.312	LL06	211.568805	1.16577926137231239e-1	17.935066	2.991317166421e-4	3649234	false	0	0
225.327	LL06	221.578908	1.19621753384231450e-1	18.403347	3.040755184504e-4	3802760	false	0	0
235.343	LL06	231.630820	1.23177086649457368e-1	18.950321	3.536972150255e-4	3958507	false	0	0
245.358	LL06	241.697084	1.26224542415873026e-1	19.419160	3.027395223916e-4	4110932	false	0	0
255.373	LL06	251.772116	1.29396547130121220e-1	19.907161	3.148381684858e-4	4264829	false	0	0
265.388	LL06	261.839192	1.32466308811462846e-1	20.379432	3.049308142048e-4	4418888	false	0	0
275.402	LL06	271.927433	1.35569721798972337e-1	20.856880	3.076267808104e-4	4571616	false	0	0
285.418	LL06	282.023907	1.38722147776857624e-1	21.341869	3.122303593001e-4	4728263	false	0	0
295.432	LL06	292.114184	1.41828583444824602e-1	21.819782	3.078642720528e-4	4883202	false	0	0
305.447	LL06	302.200322	1.44940972389790756e-1	22.298611	3.085808510683e-4	5038587	false	0	0
315.462	LL06	312.218267	1.48075990648611822e-1	22.780922	3.129402597807e-4	5196406	false	0	0
