time_s v_ac_v i_ac_a v_load_v i_load_a v_b_v i_l_a v_d_v v_ds_v v_gs_v armed on
2.00000000000000007e-10 1.27955028618960836e-5 1.04367887190309802e-6 1.93251650167266058e-36 1.01711394824876878e-38 1.01711394844202048e-26 6.05081094591067758e-19 1.18021770826339156e-28 2.65984759475180223e-19 2.45588130428314654e-21 0.00000000000000000e0 0.00000000000000000e0
2.00159598510353944e-10 1.28057135778760232e-5 1.04451159033350548e-6 1.93405986704051707e-36 1.01792624581079851e-38 1.01792624600420440e-26 6.05564693387342198e-19 1.18188259583016629e-28 2.66197179847869148e-19 2.45784261669790653e-21 0.00000000000000000e0 0.00000000000000000e0
2.00478795531061790e-10 1.28261350098359056e-5 1.04617676817565414e-6 1.93714906292725670e-36 1.01955213838276669e-38 1.01955213857648161e-26 6.06533333320828825e-19 1.18842431873424585e-28 2.66622345758164084e-19 2.46176824363326626e-21 0.00000000000000000e0 0.00000000000000000e0
2.01117189572477509e-10 1.28669778737556655e-5 1.04950557021767514e-6 1.94334226918182155e-36 1.02281172062201129e-38 1.02281172081634567e-26 6.08480662051146870e-19 1.23733234252414792e-28 2.67474563378014531e-19 2.46963690728132708e-21 0.00000000000000000e0 0.00000000000000000e0
2.02393977655308922e-10 1.29486636015951836e-5 1.05615696439120757e-6 1.95578817539652634e-36 1.02936219757711918e-38 1.02936219777269804e-26 6.12416505981406896e-19 1.56678977265445348e-28 2.69186232336984288e-19 2.48544101153385684e-21 0.00000000000000000e0 0.00000000000000000e0
2.04947553820971772e-10 1.31120350572742282e-5 1.06943495200681102e-6 1.98091984909107726e-36 1.04258939425846176e-38 1.04258939445655367e-26 6.20439384271056710e-19 3.32842515080041679e-28 2.72638284876362613e-19 2.51731428797442087e-21 0.00000000000000000e0 0.00000000000000000e0
2.10054706152297473e-10 1.34387779686323140e-5 1.09589203199389614e-6 2.03215773341695124e-36 1.06955670179839543e-38 1.06955670200161115e-26 6.37111375313705674e-19 1.12949919706641624e-27 2.79661458981668133e-19 2.58216002143690226e-21 0.00000000000000000e0 0.00000000000000000e0
2.20269010814948876e-10 1.40922637913484857e-5 1.14841306015586955e-6 2.13865238648586245e-36 1.12560651920308548e-38 1.12560651941695083e-26 6.73158633891889308e-19 4.53649173474625843e-27 2.94219792829087340e-19 2.71657819437174407e-21 0.00000000000000000e0 0.00000000000000000e0
2.40697620140251681e-10 1.53992354367808289e-5 1.25190196552398312e-6 2.36868319683931845e-36 1.24667536675753594e-38 1.24667536699440444e-26 7.57414940007398179e-19 1.96929254765691820e-26 3.25670190487569593e-19 3.00696203387491156e-21 0.00000000000000000e0 0.00000000000000000e0
2.81554838790857290e-10 1.80131787276455054e-5 1.45281877714621114e-6 2.90464020422828725e-36 1.52875800222541429e-38 1.52875800251587840e-26 9.87205177740380728e-19 9.53203826948448742e-26 4.00677670589314948e-19 3.69952982373636685e-21 0.00000000000000000e0 0.00000000000000000e0
