wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid
10.050107	1.65253448983123073e-2	3.305069	1.644295411905e-3	246061	false
20.121761	2.52076305027031829e-2	5.041526	8.620516157913e-4	490725	false
30.183470	3.37394765198687982e-2	6.747895	8.479519924040e-4	725766	false
40.246292	4.83052363668369372e-2	9.661047	1.447482579528e-3	959053	false
50.326327	5.76142967881728904e-2	11.522859	9.235146503327e-4	1149934	false
60.399097	6.04302554800940223e-2	12.086051	2.795615117012e-4	1302867	false
70.457749	6.64969022230623985e-2	13.299380	6.031272325967e-4	1466169	false
80.494733	7.21959327149742230e-2	14.439187	5.678030697382e-4	1634250	false
90.573073	7.53328656321797102e-2	15.066573	3.112549258296e-4	1797713	false
100.644170	8.03286109062088388e-2	16.065722	4.960477826830e-4	1966976	false
110.725390	8.33574069597801393e-2	16.671481	3.004394238285e-4	2125103	false
120.737666	8.66015225333703065e-2	17.320305	3.240137899302e-4	2288384	false
130.778923	9.01617080196053938e-2	18.032342	3.545557608637e-4	2452277	false
140.780612	9.32061146982867822e-2	18.641223	3.043892628834e-4	2608574	false
150.868983	9.63619345524929782e-2	19.272387	3.128175812630e-4	2766647	false
160.937291	9.95143585193056790e-2	19.902872	3.131036521678e-4	2927300	false
170.999045	1.02658719197336754e-1	20.531744	3.125062311361e-4	3085282	false
181.090550	1.07585452459472555e-1	21.517090	4.882059770623e-4	3246010	false
191.149836	1.10386932695248532e-1	22.077387	2.784969186415e-4	3400022	false
201.216454	1.14507526718466895e-1	22.901505	4.093325092922e-4	3561256	false
211.270644	1.17523040128391210e-1	23.504608	2.999260554346e-4	3717330	false
221.354497	1.20791099781156513e-1	24.158220	3.240883815905e-4	3877780	false
231.436472	1.24005747207948325e-1	24.801149	3.188509803567e-4	4036411	false
241.522981	1.27127131920593744e-1	25.425426	3.094613290435e-4	4191991	false
251.620049	1.30301698880292915e-1	26.060340	3.144048532007e-4	4350381	false
261.691694	1.33416673775203470e-1	26.683335	3.092816232700e-4	4506980	false
271.780077	1.36590798407588560e-1	27.318160	3.146316607754e-4	4665305	false
281.786781	1.39721316127459388e-1	27.944263	3.128420426817e-4	4823517	false
291.791356	1.42884814666108279e-1	28.576963	3.162051939412e-4	4978991	false
301.856791	1.46017607773759245e-1	29.203522	3.112426825999e-4	5137774	false
311.938235	1.49140106412239098e-1	29.828021	3.097273232383e-4	5296986	false
321.985388	1.52335945604321898e-1	30.467189	3.180840468780e-4	5453304	false
332.053175	1.55496773473691285e-1	31.099355	3.139546129106e-4	5613308	false
342.128497	1.58683378233374861e-1	31.736676	3.162781974228e-4	5770706	false
352.212255	1.61863915329248459e-1	32.372783	3.154118840224e-4	5930018	false
362.296480	1.65006214549266006e-1	33.001243	3.116054098570e-4	6089596	false
372.380241	1.68240457678983824e-1	33.648092	3.207378024578e-4	6246575	false
382.383220	1.71359971518277809e-1	34.271994	3.118584748031e-4	6404717	false
392.455375	1.74491111677546940e-1	34.898222	3.108709138845e-4	6563195	false
402.458028	1.77713061920874410e-1	35.542612	3.221095740420e-4	6719926	false
412.560588	1.80893229460282717e-1	36.178646	3.147882800833e-4	6880950	false
422.588074	1.84166808527928938e-1	36.833362	3.264605917303e-4	7038855	false
432.606542	1.87333007541818641e-1	37.466602	3.160362404140e-4	7199506	false
442.615990	1.90449147313471540e-1	38.089829	3.113198693932e-4	7358292	false
452.702017	1.93718997513400076e-1	38.743800	3.241960518420e-4	7514894	false
462.788750	1.96896067304676597e-1	39.379213	3.149751146629e-4	7676003	false
472.881767	2.00113808587149583e-1	40.022762	3.188086577850e-4	7834732	false
482.931703	2.03319729639761054e-1	40.663946	3.189991524334e-4	7992646	false
493.018446	2.06514777559869744e-1	41.302956	3.167571324084e-4	8154995	false
503.083396	2.09813180660911813e-1	41.962636	3.277118381013e-4	8311435	false
513.171762	2.12986325929114734e-1	42.597265	3.145350799322e-4	8473063	false
523.268967	2.16177281514215947e-1	43.235456	3.160236532121e-4	8633056	false
533.307296	2.19457814050440680e-1	43.891563	3.268006756528e-4	8790736	false
543.311984	2.22617698822043047e-1	44.523540	3.158404006629e-4	8951515	false
553.318086	2.25915051339045242e-1	45.183010	3.295341781830e-4	9107544	false
563.366431	2.29059828860128933e-1	45.811966	3.129647306278e-4	9266921	false
573.458118	2.32227538905054459e-1	46.445508	3.138930149250e-4	9428300	false
583.533362	2.35557232341294998e-1	47.111446	3.304826557977e-4	9585010	false
593.603247	2.38736199232022162e-1	47.747240	3.156904821918e-4	9746884	false
603.678552	2.42008753569254109e-1	48.401751	3.248094668492e-4	9904596	false
613.687255	2.45207465787588841e-1	49.041493	3.195930560273e-4	10062413	false
623.777685	2.48377929592979496e-1	49.675586	3.142050439643e-4	10224203	false
633.783278	2.51724032136727560e-1	50.344806	3.344232184247e-4	10380017	false
643.794254	2.54881635867507561e-1	50.976327	3.154141744801e-4	10541178	false
653.874909	2.58080691937551343e-1	51.616138	3.173460458706e-4	10699451	false
663.963975	2.61376157407101684e-1	52.275231	3.266373149626e-4	10857818	false
674.059867	2.64572630749727700e-1	52.914526	3.166112800882e-4	11021116	false
684.129880	2.67964381220012038e-1	53.592876	3.368168895586e-4	11177942	false
694.190018	2.71112239337185257e-1	54.222448	3.129040601436e-4	11337861	false
704.283348	2.74200122415625525e-1	54.840024	3.059330348300e-4	11493339	false
714.383342	2.77475274655175630e-1	55.495055	3.242727196955e-4	11645703	false
724.460014	2.80522485251681719e-1	56.104497	3.024024743492e-4	11801395	false
734.533275	2.83694921926725130e-1	56.738984	3.149364066675e-4	11952991	false
744.637719	2.86812038683067205e-1	57.362408	3.084896961247e-4	12106478	false
754.706268	2.89769788925604621e-1	57.953958	2.937612991261e-4	12258199	false
764.708880	2.92974046986379355e-1	58.594809	3.203421433770e-4	12406096	false
774.808522	2.95987070741576264e-1	59.197414	2.983297495183e-4	12559935	false
784.901128	2.98984565793365409e-1	59.796913	2.969991078161e-4	12712490	false
794.905168	3.02160223770427339e-1	60.432045	3.174375516338e-4	12860576	false
804.987760	3.05130651207883519e-1	61.026130	2.946095316877e-4	13013562	false
815.024111	3.08148181293695866e-1	61.629636	3.006600604044e-4	13162654	false
825.101975	3.11268949727342537e-1	62.253790	3.096656549672e-4	13313204	false
835.177460	3.14230603522229646e-1	62.846121	2.939465509041e-4	13466299	false
845.271923	3.17381336209617004e-1	63.476267	3.121248206362e-4	13615920	false
855.283595	3.20373594490436342e-1	64.074719	2.988769950524e-4	13766260	false
865.333609	3.23284587082390884e-1	64.656917	2.896505874524e-4	13916548	false
875.430324	3.26504371342320687e-1	65.300874	3.188942482434e-4	14066357	false
885.525633	3.29467137119394016e-1	65.893427	2.934794410612e-4	14219533	false
895.612140	3.32477548755777730e-1	66.495510	2.984593065766e-4	14372619	false
905.675363	3.35652062300777210e-1	67.130412	3.154569202039e-4	14522033	false
915.679758	3.38603096399964276e-1	67.720619	2.949737861367e-4	14674287	false
925.774958	3.41678479134483515e-1	68.335696	3.046381172958e-4	14825661	false
935.833638	3.44794699346645417e-1	68.958940	3.098040715615e-4	14977274	false
945.927668	3.47765826956494273e-1	69.553165	2.943450407188e-4	15131058	false
956.025881	3.50942951538335823e-1	70.188590	3.146224657171e-4	15280760	false
966.104953	3.53923720425625310e-1	70.784744	2.957384344159e-4	15432263	false
976.197197	3.56891915690513428e-1	71.378383	2.941065492135e-4	15585324	false
986.290286	3.60098992851959288e-1	72.019799	3.177498175057e-4	15734649	false
996.295098	3.63051001452067701e-1	72.610200	2.950588813654e-4	15887030	false
1006.370591	3.66060768920900170e-1	73.212154	2.987215979762e-4	16038734	false
1016.470024	3.69208313467191296e-1	73.841663	3.116555852313e-4	16189001	false
1026.558550	3.72182738168729432e-1	74.436548	2.948324328732e-4	16343160	false
1036.617684	3.75293363530527169e-1	75.058673	3.092338995432e-4	16493586	false
1046.671414	3.78314247155295047e-1	75.662849	3.004739248524e-4	16643277	false
1056.754116	3.81265151860610996e-1	76.253030	2.926700320326e-4	16796291	false
1066.771554	3.84465545553454358e-1	76.893109	3.194822694253e-4	16946214	false
1076.863189	3.87418492940533710e-1	77.483699	2.926133700055e-4	17097642	false
1086.961241	3.90374144707044013e-1	78.074829	2.926952255613e-4	17250003	false
1097.046510	3.93565148115356478e-1	78.713030	3.164024195760e-4	17398563	false
1107.097927	3.96511677900111048e-1	79.302336	2.931457233340e-4	17551155	false
1117.198711	3.99553128569472116e-1	79.910626	3.011103600473e-4	17702938	false
1127.287281	4.02666012499556303e-1	80.533202	3.085555066115e-4	17852385	false
1137.374370	4.05634028741472141e-1	81.126806	2.942391165576e-4	18006137	false
1147.446627	4.08730745142531993e-1	81.746149	3.074501119136e-4	18155184	false
1157.521592	4.11770022912319844e-1	82.354005	3.016663352962e-4	18306010	false
1167.606632	4.14725924723464368e-1	82.945185	2.930976663668e-4	18458929	false
1177.701707	4.17895385228455596e-1	83.579077	3.139610617797e-4	18606643	false
1187.777572	4.20863903882355672e-1	84.172781	2.946167480654e-4	18759128	false
1197.876675	4.23835898748446627e-1	84.767180	2.942830726732e-4	18911664	false
1207.955814	4.27004936415077918e-1	85.400987	3.144155059304e-4	19059660	false
1218.048379	4.29968942576220536e-1	85.993789	2.936821400429e-4	19212627	false
1228.111654	4.32982141557429312e-1	86.596428	2.994252896013e-4	19362715	false
1238.193426	4.36111368857962256e-1	87.222274	3.103846488231e-4	19512782	false
1248.193428	4.39034051009660864e-1	87.806810	2.922681725572e-4	19663876	false
1258.280079	4.42145246772179312e-1	88.429049	3.084468381324e-4	19813384	false
1268.343522	4.45189545477208404e-1	89.037909	3.025106659400e-4	19964389	false
1278.408349	4.48126754215792122e-1	89.625351	2.918290180658e-4	20116550	false
1288.491452	4.51317379009090913e-1	90.263476	3.164328511395e-4	20264956	false
1298.590648	4.54293449060090448e-1	90.858690	2.946838517966e-4	20418090	false
1308.646729	4.57257959436841721e-1	91.451592	2.947977785682e-4	20569933	false
1318.734398	4.60442349403173745e-1	92.088470	3.156715241108e-4	20718551	false
1328.816539	4.63394287135051985e-1	92.678857	2.927887890053e-4	20871735	false
1338.889406	4.66427762476138874e-1	93.285552	3.011531117013e-4	21022094	false
1348.976052	4.69551688927926147e-1	93.910338	3.097091585603e-4	21172442	false
