# source=zapote/power-entry/passive-reva/protection/operating-matrix-07/normal-hysteretic-driver-candidate/trace.tsv.gz period_s=1.666666666666667e-2
cycle	mean_vb	min_vb	max_vb	ripple_pp	q_mean_v	en_mean_v	il_peak_abs_a	vd_peak_v	gate_peak_v	segment_rows
15	3.189320191667e2	3.079643002e2	3.301494283e2	2.218512803e1	5.000000000e0	5.000000000e0	2.638941377e1	3.302685461e2	1.498219108e1	820120
16	3.394659397375e2	3.287056787e2	3.487924584e2	2.008677966e1	5.000000000e0	5.000000000e0	2.824139283e1	3.489123395e2	1.498218388e1	817229
17	3.529848939657e2	3.470849634e2	3.579417390e2	1.085677563e1	5.000000000e0	5.000000000e0	1.824100786e1	3.580519769e2	1.498219711e1	821254
18	3.592115761670e2	3.559267896e2	3.621724968e2	6.245707219e0	5.000000000e0	5.000000000e0	1.484125111e1	3.622796927e2	1.498220824e1	825706
19	3.623814576681e2	3.599838553e2	3.646841581e2	4.700302844e0	5.000000000e0	5.000000000e0	1.344166533e1	3.647873951e2	1.498221249e1	827212
20	3.645566386719e2	3.624240385e2	3.666684661e2	4.244427605e0	5.000000000e0	5.000000000e0	1.337327749e1	3.667720370e2	1.498220731e1	827462
21	3.664605431743e2	3.643784394e2	3.685094574e2	4.131017993e0	5.000000000e0	5.000000000e0	1.347770127e1	3.686138720e2	1.498221167e1	827853
22	3.682239450866e2	3.661982987e2	3.702300945e2	4.031795801e0	5.000000000e0	5.000000000e0	1.380921009e1	3.703344707e2	1.498221395e1	828671
23	3.698744855269e2	3.678995489e2	3.718255530e2	3.926004091e0	5.000000000e0	5.000000000e0	1.344295183e1	3.719304579e2	1.498221403e1	828252
24	3.714109591531e2	3.694752093e2	3.733251097e2	3.849900429e0	5.000000000e0	5.000000000e0	1.366189888e1	3.734330550e2	1.498221404e1	827594
25	3.728474802848e2	3.709575379e2	3.747180708e2	3.760532908e0	5.000000000e0	5.000000000e0	1.343266091e1	3.748239950e2	1.498221309e1	827613
26	3.741667697295e2	3.723316751e2	3.759935688e2	3.661893688e0	5.000000000e0	5.000000000e0	1.342707441e1	3.761003693e2	1.498220608e1	826544
27	3.753921375480e2	3.735910267e2	3.771825616e2	3.591534899e0	5.000000000e0	5.000000000e0	1.334894265e1	3.772914537e2	1.498221202e1	827264
28	3.765271300624e2	3.747631940e2	3.782731995e2	3.510005572e0	5.000000000e0	5.000000000e0	1.340102080e1	3.783812855e2	1.498221032e1	826960
29	3.775553743795e2	3.758393306e2	3.792564320e2	3.417101429e0	5.000000000e0	5.000000000e0	1.360591044e1	3.793646967e2	1.498221088e1	827244
