wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid
10.008669	1.64474153462593961e-2	2.530372	1.643316922644e-3	238182	false
20.102127	2.50335215455041137e-2	3.851311	8.506604992518e-4	474679	false
30.119133	3.34764857755081441e-2	5.150229	8.428630431135e-4	704008	false
40.216105	4.36537126864050759e-2	6.715956	1.007948409539e-3	926187	false
50.218576	5.71560975453849554e-2	8.793246	1.349905042479e-3	1123715	false
60.260994	5.98652543874336820e-2	9.210039	2.697713568409e-4	1274676	false
70.325898	6.59917764580835731e-2	10.152581	6.087014933880e-4	1434950	false
80.409175	6.88501004666437350e-2	10.592323	2.834717216076e-4	1587039	false
90.494499	7.43414399155259142e-2	11.437145	5.444881991338e-4	1744625	false
100.504594	7.72444995788809652e-2	11.883769	2.900131811214e-4	1896065	false
110.509842	8.20251554492531232e-2	12.619255	4.778148158697e-4	2053378	false
120.606407	8.50030903081519518e-2	13.077399	2.949453571094e-4	2207789	false
130.611376	8.84302190626327506e-2	13.604649	3.425426574380e-4	2364030	false
140.696383	9.14216313752037463e-2	14.064866	2.966197532586e-4	2519156	false
150.710483	9.44799787178165762e-2	14.535381	3.054041347712e-4	2673325	false
160.723079	9.75936959856932573e-2	15.014415	3.109800202414e-4	2828662	false
170.793806	1.00624087519376570e-1	15.480629	3.009108871550e-4	2982289	false
180.890738	1.05703098992063482e-1	16.262015	5.030252252678e-4	3141161	false
190.891541	1.08290794953391264e-1	16.660122	2.587488175160e-4	3290246	false
200.926785	1.11248886107096753e-1	17.115213	2.947702174005e-4	3443997	false
210.969699	1.15276478294544446e-1	17.734843	4.010382100275e-4	3601720	false
221.050906	1.18196536877099884e-1	18.184083	2.896536641246e-4	3752492	false
231.072762	1.21503535399904203e-1	18.692852	3.299786632881e-4	3908431	false
241.084796	1.24509130376824123e-1	19.155251	3.001982366424e-4	4061850	false
251.094886	1.27571821114549594e-1	19.626434	3.059603508445e-4	4214670	false
261.148673	1.30690049991244783e-1	20.106162	3.101546665186e-4	4370084	false
