wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks
10.011919	1.66889613776417048e-2	3.337792	1.666909327700e-3	262620
20.111493	2.56106326215863808e-2	5.122127	8.833710892786e-4	526200
30.203140	4.01294805008141908e-2	8.025896	1.438699520444e-3	795737
40.209788	5.29176962263849734e-2	10.583539	1.277971992751e-3	1052389
50.258168	5.92765793859276469e-2	11.855316	6.328267003778e-4	1229065
60.341706	6.61333648301431209e-2	13.226673	6.799979632918e-4	1410964
70.395573	7.22441316393033495e-2	14.448826	6.078026052768e-4	1588334
80.429818	7.58832273102427873e-2	15.176645	3.626676088573e-4	1760933
90.438654	8.14571674965885867e-2	16.291433	5.569019655639e-4	1939638
100.481524	8.51386957058035548e-2	17.027739	3.665812915071e-4	2113471
110.498281	8.94452095743445419e-2	17.889042	4.299309337034e-4	2291594
120.598995	9.31592771365389039e-2	18.631855	3.677034705382e-4	2465082
130.650779	9.69957097306695382e-2	19.399142	3.816668295292e-4	2638951
140.741675	1.00762847403808545e-1	20.152569	3.733204493252e-4	2812821
150.788236	1.06586256523220763e-1	21.317251	5.796420045761e-4	2992819
160.834170	1.09823637029284715e-1	21.964727	3.222577970233e-4	3161670
170.877692	1.14532919022825738e-1	22.906584	4.688874993490e-4	3339744
180.963675	1.18219771277533831e-1	23.643954	3.655422142993e-4	3513108
191.000980	1.22309479790705292e-1	24.461896	4.074508322331e-4	3689186
201.016950	1.26073806605266514e-1	25.214761	3.758324910616e-4	3860714
211.038574	1.29900012843880197e-1	25.980003	3.817950112393e-4	4033968
221.086689	1.33726476260570715e-1	26.745295	3.808140564359e-4	4206699
231.123548	1.37551941824337776e-1	27.510388	3.811417014152e-4	4380664
241.152456	1.41364453467169915e-1	28.272891	3.801522297213e-4	4554413
251.233144	1.45211867677440626e-1	29.042374	3.816618866789e-4	4726843
261.296030	1.48979907810559503e-1	29.795982	3.744492284905e-4	4899696
271.396665	1.52850168477984522e-1	30.570034	3.831700398362e-4	5071732
281.396710	1.56684215180344866e-1	31.336843	3.834029353378e-4	5246656
291.420312	1.60572447891067560e-1	32.114490	3.879077425065e-4	5418952
301.521719	1.64443408841462274e-1	32.888682	3.832100924350e-4	5595170
311.537660	1.68279247542836990e-1	33.655850	3.829733722847e-4	5764487
321.624331	1.72052431095880781e-1	34.410486	3.740762041117e-4	5936729
331.720168	1.75916102807234853e-1	35.183221	3.826994845181e-4	6106709
341.814284	1.79734703906036103e-1	35.946941	3.782996934390e-4	6281034
351.897676	1.83560921435737018e-1	36.712184	3.794573866744e-4	6451323
361.915841	1.87426064292179534e-1	37.485213	3.858134506884e-4	6625306
371.997740	1.91253256751136747e-1	38.250651	3.796102756988e-4	6798655
382.022594	1.95156154550205713e-1	39.031231	3.893221570216e-4	6971029
392.031004	1.98953377871573217e-1	39.790676	3.794032713622e-4	7145259
402.110320	2.02871094644362010e-1	40.574219	3.886887519415e-4	7316286
412.177425	2.06699831559064851e-1	41.339966	3.803215233127e-4	7492053
422.280783	2.10569738013521440e-1	42.113948	3.830317300299e-4	7659724
432.357880	2.14469305304542252e-1	42.893861	3.869732539695e-4	7838666
442.434392	2.18400243862769072e-1	43.680049	3.901090631117e-4	8008674
452.518498	2.22238510812776069e-1	44.447702	3.806254274108e-4	8185007
462.623192	2.26264130576212474e-1	45.252826	3.983910494574e-4	8359228
472.711142	2.30154904227456908e-1	46.030981	3.856852568877e-4	8538035
482.804348	2.34178104769458967e-1	46.835621	3.986048246881e-4	8712461
492.902233	2.38097147418876026e-1	47.619429	3.881052834507e-4	8891257
502.924678	2.42117005937281332e-1	48.423401	4.010856134965e-4	9067446
513.022715	2.46074963967026022e-1	49.214993	3.919532112771e-4	9246446
523.071184	2.50056199383159816e-1	50.011240	3.962031778537e-4	9423631
533.119114	2.54064371806229650e-1	50.812874	3.989053239933e-4	9601417
543.147834	2.58003253857938708e-1	51.600651	3.927601668651e-4	9778807
553.198919	2.62046444116042943e-1	52.409289	4.022640831934e-4	9956318
563.252244	2.66011913799626742e-1	53.202383	3.944436011685e-4	10136380
573.277708	2.70043823547401030e-1	54.008765	4.021668902918e-4	10311309
583.289256	2.73813331504796420e-1	54.762666	3.765159872459e-4	10484577
593.315169	2.77749542477908229e-1	55.549908	3.926037579159e-4	10652068
603.346676	2.81479705086818022e-1	56.295941	3.718446882699e-4	10824701
613.378544	2.85391189370767739e-1	57.078238	3.899058488306e-4	10991073
623.431151	2.89124657360093684e-1	57.824931	3.713930178487e-4	11163498
633.437955	2.93028426343712178e-1	58.605685	3.901114860123e-4	11330196
643.460215	2.96715347237061167e-1	59.343069	3.678732112552e-4	11501158
653.536745	3.00550021091197161e-1	60.110004	3.805549838514e-4	11668743
663.549688	3.04247779989023526e-1	60.849556	3.692978982804e-4	11836803
673.568034	3.07977830555914545e-1	61.595566	3.723220086940e-4	12005459
683.586780	3.11780291204253712e-1	62.356058	3.795345877018e-4	12172520
693.616415	3.15468653016185485e-1	63.093731	3.677463480480e-4	12343216
703.713955	3.19358357437874885e-1	63.871671	3.852130722444e-4	12510631
713.726393	3.23013722569387318e-1	64.602745	3.650824448906e-4	12680251
723.751164	3.26878501619692952e-1	65.375700	3.855229229982e-4	12846026
733.848282	3.30509035832603548e-1	66.101807	3.595614370215e-4	13015035
743.920194	3.34265378985212580e-1	66.853076	3.729523156924e-4	13177736
754.013323	3.37878420106028199e-1	67.575684	3.579703949703e-4	13343989
764.057643	3.41492747106977523e-1	68.298549	3.598378820850e-4	13506614
774.063953	3.45194298414331413e-1	69.038860	3.699217086206e-4	13669868
784.163972	3.48534537976268155e-1	69.706908	3.307161797928e-4	13830839
794.188970	3.48534537976268155e-1	69.706908	0.000000000000e0	13921354
804.261268	3.48534537976268155e-1	69.706908	0.000000000000e0	14015578
814.351190	3.48534537976268155e-1	69.706908	0.000000000000e0	14111138
824.432779	3.48534537976268155e-1	69.706908	0.000000000000e0	14206505
834.519104	3.48534537976268155e-1	69.706908	0.000000000000e0	14301971
844.542277	3.48534537976268155e-1	69.706908	0.000000000000e0	14396856
854.565587	3.48534537976268155e-1	69.706908	0.000000000000e0	14492187
