wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid
10.025785	1.65626897110936963e-2	2.548106	1.652009203428e-3	249862	false
20.049662	2.52593727552295165e-2	3.886057	8.675967761261e-4	495466	false
30.102471	3.38417043719061450e-2	5.206416	8.537247409404e-4	731919	false
40.152586	4.85137366808553461e-2	7.463652	1.459886970843e-3	967414	false
50.195162	5.77198366425271253e-2	8.879975	9.167070015198e-4	1159343	false
60.235842	6.06318969597951160e-2	9.327984	2.900262279725e-4	1322406	false
70.287705	6.66682017759817613e-2	10.256646	6.005159781006e-4	1491364	false
80.315877	7.23127344264376526e-2	11.125036	5.628675779204e-4	1661776	false
90.349288	7.53186210306582421e-2	11.587480	2.995877029745e-4	1825997	false
100.359314	8.02436682275055463e-2	12.345180	4.920114515375e-4	1997073	false
110.364422	8.33040986723817961e-2	12.816015	3.058867720441e-4	2162248	false
120.410653	8.64999627847245628e-2	13.307687	3.181157567782e-4	2329849	false
130.447069	9.00840055685560026e-2	13.859078	3.571038356638e-4	2499637	false
140.490988	9.31420328084619636e-2	14.329544	3.044655455668e-4	2664651	false
150.554483	9.64085727535267528e-2	14.832088	3.245929778580e-4	2833642	false
160.577802	9.95932598572965011e-2	15.322040	3.177278009180e-4	3001209	false
170.591097	1.02813809663170483e-1	15.817509	3.216273903837e-4	3167892	false
180.639417	1.07680804435981159e-1	16.566278	4.843590523060e-4	3334783	false
190.688986	1.10536588011039369e-1	17.005629	2.841697458363e-4	3497216	false
200.736603	1.14754973838388563e-1	17.654611	4.198394577078e-4	3667939	false
210.744608	1.17794008822584603e-1	18.122155	3.036603967425e-4	3832075	false
220.783950	1.21257934358973293e-1	18.655067	3.450351222231e-4	4001862	false
230.825960	1.24456613182785239e-1	19.147171	3.185297349829e-4	4168798	false
240.847643	1.27607335945310513e-1	19.631898	3.143905988366e-4	4333320	false
250.910244	1.30836265473958768e-1	20.128656	3.208841884202e-4	4500452	false
260.966385	1.34012875242249169e-1	20.617365	3.158875538398e-4	4665852	false
271.000082	1.37196317587763378e-1	21.107126	3.172751020747e-4	4832746	false
281.096446	1.40412698063896779e-1	21.601954	3.185681930953e-4	5001244	false
291.138393	1.43617367958652709e-1	22.094980	3.191283577099e-4	5166635	false
301.171277	1.46821633231965981e-1	22.587944	3.193762810430e-4	5333388	false
311.275222	1.49954119949005038e-1	23.069865	3.100260976809e-4	5497179	false
321.327581	1.53181383776082369e-1	23.566367	3.210454409488e-4	5663735	false
331.336816	1.56335467335428413e-1	24.051610	3.151173319382e-4	5828555	false
341.418107	1.59487868859254145e-1	24.536595	3.126981974656e-4	5990444	false
351.479751	1.62639039414356812e-1	25.021391	3.131864632515e-4	6155363	false
361.546507	1.65746413210786120e-1	25.499448	3.086767718300e-4	6318728	false
371.618117	1.68911037071801939e-1	25.986313	3.142122974486e-4	6481004	false
381.629748	1.72076919969293474e-1	26.473372	3.162205055374e-4	6646506	false
391.684809	1.75219074298004734e-1	26.956781	3.124947858001e-4	6809094	false
401.728864	1.78410155617184957e-1	27.447716	3.177084949430e-4	6974117	false
411.771502	1.81539345546690073e-1	27.929130	3.115904297811e-4	7137783	false
421.852132	1.84691769496545727e-1	28.414118	3.127209054663e-4	7297729	false
431.863269	1.87872713756719101e-1	28.903494	3.177405676252e-4	7464484	false
441.943129	1.90951772206155751e-1	29.377196	3.054663903503e-4	7626103	false
451.987266	1.94102567288593181e-1	29.861933	3.136949658228e-4	7785973	false
462.030827	1.97162248177290472e-1	30.332654	3.046410445744e-4	7946644	false
472.094118	2.00285937459544261e-1	30.813221	3.104043249321e-4	8107199	false
482.162319	2.03466891802923128e-1	31.302599	3.159406846208e-4	8271952	false
492.263270	2.06676481497783254e-1	31.796382	3.177512612571e-4	8440580	false
502.352879	2.09918906679647493e-1	32.295216	3.213628008465e-4	8604178	false
512.371614	2.13115292035262388e-1	32.786968	3.190408165796e-4	8772337	false
522.379860	2.16317580830407474e-1	33.279628	3.199650403418e-4	8938358	false
532.475024	2.19562088671721889e-1	33.778783	3.213923011565e-4	9103963	false
542.573345	2.22753222410718210e-1	34.269727	3.160063416248e-4	9271814	false
552.614740	2.26039219503797295e-1	34.775265	3.272450891586e-4	9437523	false
562.713933	2.29282817191320820e-1	35.274280	3.211739413951e-4	9607666	false
572.765335	2.32466342489151628e-1	35.764053	3.167245156352e-4	9774518	false
582.832797	2.35750330578240269e-1	36.269282	3.261982159195e-4	9939499	false
592.897019	2.38914140761592980e-1	36.756022	3.143621115144e-4	10106442	false
602.980050	2.42154502915203823e-1	37.254539	3.213678512368e-4	10270954	false
612.989042	2.45378448393464621e-1	37.750531	3.221049191354e-4	10437985	false
623.071664	2.48540358102919356e-1	38.236978	3.135999519454e-4	10605040	false
633.083200	2.51791170676376241e-1	38.737103	3.247066797787e-4	10766504	false
643.170935	2.54971050540517996e-1	39.226315	3.152223672143e-4	10934764	false
653.237240	2.58182707674096013e-1	39.720417	3.190502770726e-4	11100093	false
657.898496	2.59748485712750055e-1	39.961305	3.359133209788e-4	11176286	true
