wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid
10.014682	1.60719504885646694e-2	3.214390	1.604838750940e-3	198993	false
20.090711	2.42108211608907976e-2	4.842164	8.077458997115e-4	396422	false
30.183628	3.21139041491790914e-2	6.422781	7.830325884278e-4	590862	false
40.282860	3.79607602290580673e-2	7.592152	5.789406926536e-4	771243	false
50.292440	4.84070988363966073e-2	9.681420	1.043634059305e-3	957626	false
60.381966	5.67108915929485577e-2	11.342178	8.230111822880e-4	1121026	false
70.458835	5.80237589985894142e-2	11.604752	1.302852406293e-4	1259674	false
80.515509	5.93538714701836653e-2	11.870774	1.322616712260e-4	1398544	false
90.535851	6.18247115294473584e-2	12.364942	2.465824049160e-4	1541980	false
100.608951	6.55163396121706265e-2	13.103268	3.664838131375e-4	1686552	false
110.694191	6.68137103628946016e-2	13.362742	1.286405478664e-4	1825002	false
120.707573	6.82226083906938563e-2	13.644522	1.407015160112e-4	1965921	false
130.771321	7.22501573038017708e-2	14.450031	4.002036795379e-4	2107388	false
140.772287	7.36952456805640976e-2	14.739049	1.444948764657e-4	2246436	false
150.849886	7.50230556972342477e-2	15.004611	1.317585618153e-4	2384783	false
160.929331	7.64249895553237996e-2	15.284998	1.390883997557e-4	2524539	false
171.026700	7.78888968034463641e-2	15.577779	1.449790780274e-4	2665740	false
181.028438	8.11962302716716378e-2	16.239246	3.306758657013e-4	2809391	false
191.033697	8.26446271991735509e-2	16.528925	1.447635718515e-4	2950634	false
201.100882	8.39613778620069279e-2	16.792276	1.307963080180e-4	3087650	false
211.139573	8.52679685927471287e-2	17.053594	1.301554944117e-4	3214984	false
221.160748	8.67342720788547850e-2	17.346854	1.463205100582e-4	3355588	false
231.242484	8.85923879174694701e-2	17.718478	1.843051381689e-4	3498382	false
241.330187	9.00340731589001769e-2	18.006815	1.429151151088e-4	3638450	false
251.430828	9.14370175844522182e-2	18.287404	1.388965810025e-4	3779545	false
261.518563	9.28330963828356559e-2	18.566619	1.383936771409e-4	3920050	false
271.596600	9.42842970768050515e-2	18.856859	1.439963738938e-4	4060685	false
281.626480	9.57882575849865331e-2	19.157652	1.499480011973e-4	4204499	false
291.631496	9.72665243266474661e-2	19.453305	1.477525676247e-4	4345541	false
292.259414	9.73456252139008882e-2	19.469125	1.259731836923e-4	4353208	false
