 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(gate)                 
 9.99999999999999955e-07  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000009999999989e-06  4.99999999682362639e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000029999999977e-06  1.49999999904708803e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000069999999974e-06  3.49999999883532986e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000099999999977e-06  4.99999999894120872e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000107999999985e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000123999999979e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000155999999968e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000219999999946e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000347999999924e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000603999999878e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00001115999999787e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00002139999999606e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00004187999999221e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00008283999998472e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00016475999996955e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00032859999993940e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00065627999987911e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00131163999975852e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00200169999999992e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00213277199997584e-06  5.00000000000000000e+00  6.55359999879625899e-01  0.00000000000000000e+00  1.96607999963887758e+00  0.00000000000000000e+00 
 1.00215984773745785e-06  5.00000000000000000e+00  7.90738687289653241e-01  0.00000000000000000e+00  2.37221606186895961e+00 -2.79771748324061482e-23 
 1.00216523657131463e-06  5.00000000000000000e+00  8.17682856573541561e-01  0.00000000000000000e+00  2.45304856972062479e+00  4.36839235222833223e-08 
 1.00216729800095214e-06  5.00000000000000000e+00  8.27990004761121945e-01  0.00000000000000000e+00  2.48397001428336583e+00  8.98894640753909822e-08 
 1.00216837679314912e-06  5.00000000000000000e+00  8.33383965746022359e-01  0.00000000000000000e+00  2.50015189723806674e+00  1.24260822250055766e-07 
 1.00216966094463292e-06  5.00000000000000000e+00  8.39804723164996436e-01  0.00000000000000000e+00  2.51941416949498942e+00  1.74302357766173428e-07 
 1.00217222924760051e-06  5.00000000000000000e+00  8.52646238002944701e-01  0.00000000000000000e+00  2.55793871400883432e+00  3.04143256093170529e-07 
