 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(gate)                 
 9.99999999999999955e-07  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000009999999989e-06  4.99999999682362639e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000029999999977e-06  1.49999999904708803e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000069999999974e-06  3.49999999883532986e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000099999999977e-06  4.99999999894120872e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000107999999985e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000123999999979e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000155999999968e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000219999999946e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000347999999924e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000603999999878e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00001115999999787e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00002139999999606e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00004187999999221e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00008283999998472e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00016475999996955e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00032859999993940e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00065627999987911e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00131163999975852e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00200169999999992e-06  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00213277199997584e-06  5.00000000000000000e+00  6.55359999879625899e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00239491599992748e-06  5.00000000000000000e+00  1.96607999963781888e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00245376718295344e-06  5.00000000000000000e+00  2.26033591476759721e+00  4.90455392523981658e-41  0.00000000000000000e+00  4.01754233842923830e-22 
 1.00247304871133848e-06  5.00000000000000000e+00  2.35674355669278368e+00 -2.12070388134117417e-40  0.00000000000000000e+00  6.62988130319422811e-22 
 1.00247874090326439e-06  5.00000000000000000e+00  2.38520451632235631e+00  4.79748537269987397e-40  0.00000000000000000e+00  7.42287770650258947e-22 
 1.00249012528711622e-06  5.00000000000000000e+00  2.44212643558150155e+00  3.02896944864073983e-40  0.00000000000000000e+00  9.13124805977403708e-22 
 1.00249268107499498e-06  5.00000000000000000e+00  2.45490537497532202e+00  1.38173700689699557e-40  0.00000000000000000e+00  9.51702443562635690e-22 
 1.00249779265075230e-06  5.00000000000000000e+00  2.48046325376190424e+00  1.63920788415717736e-40  0.00000000000000000e+00  1.02642172993363644e-21 
 1.00249894019668285e-06  5.00000000000000000e+00  2.48620098341467255e+00  2.96814708970531947e-40  0.00000000000000000e+00  1.04335730788269155e-21 
 1.00250123528854396e-06  5.00000000000000000e+00  2.49767644272020917e+00  3.49566066584896929e-40  0.00000000000000000e+00  1.07832088498477518e-21 
 1.00250146635213844e-06  5.00000000000000000e+00  2.49883176069262625e+00 -3.04220192644843806e-40  0.00000000000000000e+00  1.08193711831034177e-21 
 1.00250156606653200e-06  5.00000000000000000e+00  2.49933033266041837e+00 -9.02445900864024064e-41  0.00000000000000000e+00  1.08350081021555261e-21 
 1.00250159365850871e-06  5.00000000000000000e+00  2.49946829254395642e+00 -6.68370022353011159e-41  0.00000000000000000e+00  1.08393300527937217e-21 
 1.00250164884246234e-06  5.00000000000000000e+00  2.49974421231209121e+00 -2.77285211041757755e-40  0.00000000000000000e+00  1.08479784656176870e-21 
 1.00250166123122933e-06  5.00000000000000000e+00  2.49980615614704371e+00 -2.72654275226421182e-40  0.00000000000000000e+00  1.08499197363624502e-21 
 1.00250168600876352e-06  5.00000000000000000e+00  2.49993004381800743e+00 -2.63562412154495279e-40  0.00000000000000000e+00  1.08538010735154388e-21 
 1.00250169600876356e-06  5.00000000000000000e+00  2.49998004381818895e+00 -2.58768307332449622e-40  0.00000000000000000e+00  1.08553671265118179e-21 
