role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)	v(xu.raw)	v(xu.pwm_hold)	v(pwm)	v(pwm_input)	v(xdriver.driver_req)	v(xdriver.drv_delay)	v(xu.phase)	v(xu.blank)	v(isense)	v(xu.ov)	v(xu.fault)	v(xu.pcl_hold)	v(xu.pcl_request)	v(disable)	v(xu.m1)	v(xu.m2)
LEFT	1	22757955	5.01554914485680570e-1	9.29386038721502530e1	-9.40892015307383645e-1	-4.10479134640089516e0	3.76863725815538317e2	3.76893478214944764e2	4.10477965551564417e0	3.76961384799150380e2	3.78195769827636070e2	-9.40581772888969519e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87849824010820976e0	2.57002920616301056e0	5.00000000000000000e0	8.09850519978283501e-1	2.42955155993485050e0	2.19998763301187283e0	1.49999999999999716e1	-7.41843118119578036e-8	1.93904670364730691e-6	-1.36817214079757010e-29	-4.45686826069134415e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764480638e-1	4.99969949153869664e-1	1.37425890230983883e0
GROUP	1	22757956	5.01554914485680681e-1	9.29386038718766940e1	-9.40892015588971731e-1	-4.10479136191028537e0	3.76863725815538544e2	3.76893478214944992e2	4.10477965536628808e0	3.76961384799148277e2	3.78195769827631239e2	-9.40581776590234311e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87849824010820976e0	2.57002920616232888e0	5.00000000000000000e0	8.09851075089795813e-1	2.42955322526938744e0	2.19998914099196519e0	1.49999999999999716e1	6.31427861899156580e-10	1.93904670375832922e-6	-1.36804419575991445e-29	-4.45686826054198793e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764481013e-1	4.99969949153869608e-1	1.37425890230983883e0
GROUP	1	22757957	5.01554914485680681e-1	9.29386038725097166e1	-9.40892014955949207e-1	-4.10479136042706383e0	3.76863725815538544e2	3.76893478214944992e2	4.10477965528731925e0	3.76961384799147254e2	3.78195769827628624e2	-9.40581778762493842e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87849824010820976e0	2.57002920616196873e0	5.00000000000000000e0	8.09851075089795813e-1	2.42955322526938744e0	2.19998914099196519e0	1.49999999999999716e1	4.01881825656310270e-8	1.93904670375832922e-6	-1.36797655319243903e-29	-4.45686826046301984e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764480888e-1	4.99969949153869664e-1	1.37425890230983860e0
RIGHT	1	22757958	5.01554914485680792e-1	9.29386038734261319e1	-9.40892014043541280e-1	-4.10479139160464523e0	3.76863725815538544e2	3.76893478214944992e2	4.10477965518529420e0	3.76961384799146003e2	3.78195769827625156e2	-9.40581781567654358e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87849824010821020e0	2.57002920616150332e0	5.00000000000000000e0	8.09851630201308126e-1	2.42955489060392438e0	2.19999064897205754e0	1.49999999999999716e1	9.12948841274664552e-8	1.93904670386935152e-6	-1.36788916501655574e-29	-4.45686826036099243e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764479319e-1	4.99969949153869830e-1	1.37425890230983949e0
LEFT	2	22758749	5.01570406915119338e-1	9.37611698883693805e1	-9.42416811748401528e-1	-4.15666835434543902e0	3.76858448499787926e2	3.76888200482564173e2	4.15665674274715968e0	3.76956858431278647e2	3.78192216997956507e2	-9.53839414404931167e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87856500689664374e0	2.58840350960354559e0	5.00000000000000000e0	8.09853295535845064e-1	2.42955988660753519e0	2.19999517291233504e0	1.49999999999999716e1	-1.14543239973008533e-7	1.94044931967063405e-6	-3.26022824640018493e-29	-4.50775593841534136e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764476655e-1	4.99990847158649554e-1	1.37433605699480843e0
GROUP	2	22758750	5.01570406915119449e-1	9.37611698888573528e1	-9.42416811264422449e-1	-4.15666833820255022e0	3.76858448499788096e2	3.76888200482564343e2	4.15665674263314155e0	3.76956858431277226e2	3.78192216997952755e2	-9.53839417317869341e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87856500689664419e0	2.58840350960302157e0	5.00000000000000000e0	8.09853850647357376e-1	2.42956155194207213e0	2.19999668089242784e0	1.49999999999999716e1	-5.72675877216091766e-8	1.94044931978165636e-6	-3.25999484011933594e-29	-4.50775593830132076e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764476072e-1	4.99990847158649721e-1	1.37433605699480910e0
GROUP	2	22758751	5.01570406915119449e-1	9.37611698859004150e1	-9.42416814221360255e-1	-4.15666835475427110e0	3.76858448499788096e2	3.76888200482564343e2	4.15665674257202422e0	3.76956858431276544e2	3.78192216997950709e2	-9.53839418911504403e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87856500689664419e0	2.58840350960274135e0	5.00000000000000000e0	8.09853850647357376e-1	2.42956155194207213e0	2.19999668089242784e0	1.49999999999999716e1	-2.65659102085737525e-8	1.94044931978165636e-6	-3.25986973337525800e-29	-4.50775593824020229e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764476114e-1	4.99990847158649665e-1	1.37433605699480932e0
GROUP	2	22758752	5.01570406915119449e-1	9.37611698886355498e1	-9.42416811486225470e-1	-4.15666832014805898e0	3.76858448499788039e2	3.76888200482564287e2	4.15665674249521189e0	3.76956858431275577e2	3.78192216997947980e2	-9.53839421109998238e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87856500689664419e0	2.58840350960238963e0	5.00000000000000000e0	8.09853850647357376e-1	2.42956155194207213e0	2.19999668089242784e0	1.49999999999999716e1	1.20197010876684461e-8	1.94044931978165636e-6	-3.25971250707491307e-29	-4.50775593816338874e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764475878e-1	4.99990847158649665e-1	1.37433605699480932e0
RIGHT	2	22758753	5.01570406915119560e-1	9.37611698894805699e1	-9.42416810649206127e-1	-4.15666836158482589e0	3.76858448499788096e2	3.76888200482564343e2	4.15665674234158455e0	3.76956858431273361e2	3.78192216997942694e2	-9.53839425295910041e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87856500689664419e0	2.58840350960168575e0	5.00000000000000000e0	8.09854405758869689e-1	2.42956321727660907e0	2.19999818887252019e0	1.49999999999999716e1	8.91909233553129370e-8	1.94044931989267866e-6	-3.25939807722314854e-29	-4.50775593800975954e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764475822e-1	4.99990847158649665e-1	1.37433605699480932e0
LEFT	3	23027415	5.06790866072615032e-1	9.22832297643896453e1	-9.31837890691937787e-1	-3.80115951598958368e0	3.79599672648632350e2	3.79629641043841389e2	3.80114985034331587e0	3.79693107306458273e2	3.80921673321568392e2	-4.70073013895723067e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87744824854766135e0	2.56978703672170505e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	3.73039369065427840e-7	1.92356756112399552e-6	9.73336094128554697e-27	-4.15720984372726088e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764473519e-1	4.99641301795418047e-1	1.37304583288086834e0
