 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(gate)                 
 2.56990362212799972e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362212899948e-01  4.99916726808416145e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362213099954e-01  1.50002775773052788e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362213499968e-01  3.50024981957475179e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362213799950e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362213879941e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362214039925e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362214359891e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362214999879e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362216279855e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362218839807e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362223959712e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362234199465e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362254679028e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362295638097e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362377556292e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362541392681e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362869065458e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990363524410959e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990364214500000e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990364345569100e-01  5.00000000000000000e+00  6.55345500089055122e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990364607707300e-01  5.00000000000000000e+00  1.96603650026716537e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990364666557169e-01  5.00000000000000000e+00  2.26028584737747451e+00 -1.54806496706654907e-42  0.00000000000000000e+00 -4.32849828677524900e-22 
 2.56990364685838246e-01  5.00000000000000000e+00  2.35669123105353151e+00  1.48417517374262424e-40  0.00000000000000000e+00 -6.39235878950655292e-22 
 2.56990364691530304e-01  5.00000000000000000e+00  2.38515152073404124e+00  2.12921227712518624e-40  0.00000000000000000e+00 -6.67864745375323938e-22 
 2.56990364702914420e-01  5.00000000000000000e+00  2.44207210009506070e+00  3.78186759927452649e-41  0.00000000000000000e+00 -7.04460389100433996e-22 
 2.56990364705470153e-01  5.00000000000000000e+00  2.45485076710849626e+00 -1.38496105711637880e-40  0.00000000000000000e+00 -7.11679677612653520e-22 
 2.56990364710581620e-01  5.00000000000000000e+00  2.48040810113536736e+00 -1.10939566525841331e-40  0.00000000000000000e+00 -7.19311162323176639e-22 
 2.56990364711729147e-01  5.00000000000000000e+00  2.48614573372663017e+00 -1.06281670787693816e-39  0.00000000000000000e+00 -7.19883563238444726e-22 
 2.56990364714024200e-01  5.00000000000000000e+00  2.49762099890915579e+00 -1.44067372462792187e-39  0.00000000000000000e+00 -7.21400570700272147e-22 
 2.56990364714255237e-01  5.00000000000000000e+00  2.49877618596627826e+00 -1.16991808146760363e-39  0.00000000000000000e+00 -7.21574724760369022e-22 
 2.56990364714354935e-01  5.00000000000000000e+00  2.49927467610433496e+00 -1.25072223866644780e-39  0.00000000000000000e+00 -7.21651392408026279e-22 
 2.56990364714382524e-01  5.00000000000000000e+00  2.49941262131514463e+00 -1.25772801086264847e-39  0.00000000000000000e+00 -7.21672541540848033e-22 
 2.56990364714437702e-01  5.00000000000000000e+00  2.49968851173676399e+00 -1.16983040478942822e-39  0.00000000000000000e+00 -7.21715107206141567e-22 
 2.56990364714450081e-01  5.00000000000000000e+00  2.49975040667038684e+00 -1.16633679782911372e-39  0.00000000000000000e+00 -7.21724601950689076e-22 
 2.56990364714474839e-01  5.00000000000000000e+00  2.49987419653763254e+00 -1.15947783662665737e-39  0.00000000000000000e+00 -7.21743543906915052e-22 
 2.56990364714484831e-01  5.00000000000000000e+00  2.49992415657374067e+00 -1.14331318574971814e-39  0.00000000000000000e+00 -7.21751172210275558e-22 
 2.56990364714494823e-01  5.00000000000000000e+00  2.49997411660984881e+00 -1.13600289749833579e-39  0.00000000000000000e+00 -7.21758798634529069e-22 
