 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(gate)                 
 2.56990362212799972e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362212899948e-01  4.99916726808416145e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362213099954e-01  1.50002775773052788e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362213499968e-01  3.50024981957475179e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362213799950e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362213879941e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362214039925e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362214359891e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362214999879e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362216279855e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362218839807e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362223959712e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362234199465e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362254679028e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362295638097e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362377556292e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362541392681e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990362869065458e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990363524410959e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990364214500000e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56990364345569100e-01  5.00000000000000000e+00  6.55345500089055122e-01  0.00000000000000000e+00  1.96603650026716537e+00  0.00000000000000000e+00 
 2.56990364372644997e-01  5.00000000000000000e+00  7.90724985488822085e-01  0.00000000000000000e+00  2.37217495646646626e+00  5.55456261234570951e-23 
 2.56990364378033798e-01  5.00000000000000000e+00  8.17668988073450009e-01  0.00000000000000000e+00  2.45300696422035003e+00  4.36833986741744629e-08 
 2.56990364380095204e-01  5.00000000000000000e+00  8.27976021078313806e-01  0.00000000000000000e+00  2.48392806323494142e+00  8.98885032047640894e-08 
 2.56990364381174008e-01  5.00000000000000000e+00  8.33370039643455129e-01  0.00000000000000000e+00  2.50011011893036539e+00  1.24259475273922888e-07 
 2.56990364382458147e-01  5.00000000000000000e+00  8.39790736950618566e-01  0.00000000000000000e+00  2.51937221085185570e+00  1.74300490248960079e-07 
 2.56990364385026426e-01  5.00000000000000000e+00  8.52632131564945439e-01  0.00000000000000000e+00  2.55789639469483632e+00  3.04140042545938055e-07 
 2.56990364390162984e-01  5.00000000000000000e+00  8.78314920793599185e-01  0.00000000000000000e+00  2.63494476238079756e+00  6.82824128334487079e-07 
 2.56990364400436155e-01  5.00000000000000000e+00  9.29680776806662834e-01  0.00000000000000000e+00  2.78904233041998850e+00  1.91601142830488772e-06 
 2.56990364420982498e-01  5.00000000000000000e+00  1.03241248883279013e+00  0.00000000000000000e+00  3.09723746649837040e+00  6.28405727657209042e-06 
 2.56990364462075127e-01  5.00000000000000000e+00  1.23787563532928857e+00  0.00000000000000000e+00  3.71362690598786571e+00  2.26140095150265305e-05 
 2.56990364544260386e-01  5.00000000000000000e+00  1.64880192832228545e+00  0.00000000000000000e+00  4.94640578496685634e+00  8.55470425517324413e-05 
 2.56990364708630958e-01  5.00000000000000000e+00  2.47065479186403536e+00  0.00000000000000000e+00  7.41196437559210608e+00  3.31691602928874151e-04 
 2.56990364908010083e-01  5.00000000000000000e+00  3.46755041347179827e+00  9.96895668591664456e-05  1.04026512404153948e+01  8.43523387803223664e-04 
 2.56990365105624119e-01  5.00000000000000000e+00  4.45562059470105964e+00  2.97303624248814325e-04  1.33668617841031789e+01  1.57878209073160098e-03 
 2.56990365301063228e-01  5.00000000000000000e+00  5.00000000000000000e+00  4.92742741072668949e-04  1.50000000000000000e+01  2.52627190679927723e-03 
 2.56990365541403087e-01  5.00000000000000000e+00  5.00000000000000000e+00  7.33082581955501827e-04  1.50000000000000000e+01  3.98752228552838334e-03 
 2.56990366022082750e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.21376226372116769e-03  1.50000000000000000e+01  7.86820273717350575e-03 
 2.56990366782386903e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.97406643025657214e-03  1.50000000000000000e+01  1.65303745619875576e-02 
 2.56990367711150081e-01  5.00000000000000000e+00  5.00000000000000000e+00  2.90282963179164157e-03  1.50000000000000000e+01  3.11170223240787788e-02 
 2.56990368907337063e-01  5.00000000000000000e+00  5.00000000000000000e+00  4.09901663450643310e-03  1.50000000000000000e+01  5.59839147215260360e-02 
