 time                     v(pwm_input)             v(xdriver.pwm_state)     v(xdriver.inm_state)     v(xdriver.aux_state)     v(xdriver.driver_req)    v(xdriver.drv_delay)     v(driver_out)            v(gate)                 
 5.00000000000000041e-06  2.19218668378679098e-05  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000000000000008e-05  4.38437336757358195e-05  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.61315655037172938e-19  2.60675668708601926e-19  2.54275805422892199e-19 
 2.00000000000000016e-05  8.76874673514716391e-05  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.64452084475446602e-19  2.65000421782764034e-19  2.70483794855938309e-19 
 4.00000000000000033e-05  1.75374934702943278e-04  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.61390984910730884e-19  2.60808827283640402e-19  2.54987251012736014e-19 
 8.00000000000000065e-05  3.50749869405886556e-04  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.64415660483734798e-19  2.64936148994373923e-19  2.70141034100765125e-19 
 1.60000000000000013e-04  7.01499738811773113e-04  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.61408896742554863e-19  2.60840405893434925e-19  2.55155497402236076e-19 
 3.20000000000000026e-04  1.40299947762354623e-03  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.64406778388897771e-19  2.64920496853714358e-19  2.70057681501880278e-19 
 5.00000000000000010e-04  2.19218668378679069e-03  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.61414462554721977e-19  2.60850211490126264e-19  2.55207700844169380e-19 
 5.32000000000000029e-04  2.33248663154914581e-03  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905656305374334e-19  2.62876611284953534e-19  2.62586161080746015e-19 
 5.96000000000000067e-04  2.61308652707385475e-03  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912939751598973e-19  2.62889434952370594e-19  2.62654386960087101e-19 
 7.24000000000000034e-04  3.17428631812327307e-03  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905701205632418e-19  2.62876694697157766e-19  2.62586629612411438e-19 
 9.79999999999999968e-04  4.29668590022210927e-03  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912917428219039e-19  2.62889393483342317e-19  2.62654154034575386e-19 
 1.47999999999999998e-03  6.48887258400890083e-03  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905712424687460e-19  2.62876715537828658e-19  2.62586746669240392e-19 
 1.97999999999999999e-03  8.68105926779569152e-03  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912909843107128e-19  2.62889379393300089e-19  2.62654074895229699e-19 
 2.48000000000000000e-03  1.08732459515824813e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905720001025268e-19  2.62876729611459700e-19  2.62586825715803875e-19 
 2.98000000000000001e-03  1.30654326353692729e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912902275533264e-19  2.62889365336061117e-19  2.62653995941339846e-19 
 3.48000000000000002e-03  1.52576193191560627e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905727559845395e-19  2.62876743652325715e-19  2.62586904577128768e-19 
 3.98000000000000003e-03  1.74498060029428526e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912894725456570e-19  2.62889351311548848e-19  2.62653917172471484e-19 
 4.47999999999999961e-03  1.96419926867296424e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905735101188912e-19  2.62876757660503499e-19  2.62586983253648982e-19 
 4.98000000000000005e-03  2.18341793705164357e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912887192836120e-19  2.62889337319686580e-19  2.62653838588191132e-19 
 5.48000000000000050e-03  2.40263660543032255e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905742625096648e-19  2.62876771636069463e-19  2.62587061745797612e-19 
 5.98000000000000094e-03  2.62185527380900223e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912879677630939e-19  2.62889323360397757e-19  2.62653760188066228e-19 
 6.48000000000000138e-03  2.84107394218768156e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905750131609384e-19  2.62876785579100066e-19  2.62587140054006643e-19 
 6.98000000000000183e-03  3.06029261056636054e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912872179800439e-19  2.62889309433606354e-19  2.62653681971665314e-19 
 7.48000000000000227e-03  3.27951127894504021e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905757620767806e-19  2.62876799489671383e-19  2.62587218178707051e-19 
 7.98000000000000272e-03  3.49872994732371920e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912864699303887e-19  2.62889295539236056e-19  2.62653603938557946e-19 
 8.48000000000000316e-03  3.71794861570239887e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905765092612600e-19  2.62876813367859536e-19  2.62587296120328750e-19 
 8.98000000000000360e-03  3.93716728408107786e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912857236100837e-19  2.62889281677211222e-19  2.62653526088314737e-19 
 9.48000000000000405e-03  4.15638595245975684e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905772547184113e-19  2.62876827213740166e-19  2.62587373879300646e-19 
 9.98000000000000449e-03  4.37560462083843582e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912849790150653e-19  2.62889267847455777e-19  2.62653448420507023e-19 
 1.04800000000000049e-02  4.59482328921711550e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905779984522887e-19  2.62876841027389059e-19  2.62587451456050874e-19 
 1.09800000000000054e-02  4.81404195759579448e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912842361413179e-19  2.62889254049894467e-19  2.62653370934707489e-19 
 1.14800000000000058e-02  5.03326062597447416e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905787404669221e-19  2.62876854808881662e-19  2.62587528851006314e-19 
 1.19800000000000063e-02  5.25247929435315383e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912834949848018e-19  2.62889240284451793e-19  2.62653293630489686e-19 
 1.24800000000000067e-02  5.47169796273183212e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905794807663271e-19  2.62876868558293232e-19  2.62587606064592887e-19 
 1.29800000000000072e-02  5.69091663111051180e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912827555415064e-19  2.62889226551052646e-19  2.62653216507428224e-19 
 1.34800000000000076e-02  5.91013529948919078e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905802193545145e-19  2.62876882275698831e-19  2.62587683097235501e-19 
 1.39800000000000080e-02  6.12935396786787046e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912820178074112e-19  2.62889212849621769e-19  2.62653139565098388e-19 
 1.44800000000000085e-02  6.34857263624654944e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905809562354998e-19  2.62876895961173475e-19  2.62587759949358198e-19 
 1.49800000000000089e-02  6.56779130462522842e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912812817785343e-19  2.62889199180084580e-19  2.62653062803077001e-19 
 1.54800000000000094e-02  6.78700997300390879e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905816914132648e-19  2.62876909614791889e-19  2.62587836621383912e-19 
 1.59800000000000081e-02  7.00622864138258639e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912805474508892e-19  2.62889185542366403e-19  2.62652986220941516e-19 
 1.64800000000000085e-02  7.22544730976126676e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905824248918012e-19  2.62876923236628607e-19  2.62587913113734613e-19 
 1.69800000000000090e-02  7.44466597813994574e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912798148204794e-19  2.62889171936392559e-19  2.62652909818270394e-19 
 1.74800000000000094e-02  7.66388464651862333e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905831566750762e-19  2.62876936826758067e-19  2.62587989426831215e-19 
 1.79800000000000099e-02  7.88310331489730370e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912790838833425e-19  2.62889158362088851e-19  2.62652833594643205e-19 
 1.84800000000000103e-02  8.10232198327598269e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905838867670621e-19  2.62876950385254561e-19  2.62588065561093906e-19 
