 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(pwm_input)             v(driver_out)            v(gate)                  v(xdriver.pwm_state)     v(xdriver.driver_req)    v(xdriver.drv_delay)    
 5.01554914485680681e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902688543511167e-19  2.62439030900677098e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62949054307794564e-19 
 5.01554914485780712e-01  5.00166537137781697e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902688268529152e-19  2.62439031067164353e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62949053988665661e-19 
 5.01554914485980663e-01  1.49994448762073929e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902687718568590e-19  2.62439031400138092e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62949053350411659e-19 
 5.01554914486380565e-01  3.49950038858665469e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902686618668266e-19  2.62439032066081237e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62949052073926959e-19 
 5.01554914486680548e-01  4.99944487620739419e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902685793700122e-19  2.62439032565571746e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62949051116512950e-19 
 5.01554914486760484e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902685573728059e-19  2.62439032698758661e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62949050861225014e-19 
 5.01554914486920467e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902685133786245e-19  2.62439032965132057e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62949050350651645e-19 
 5.01554914487240433e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902684253915761e-19  2.62439033497876106e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62949049329519736e-19 
 5.01554914487880366e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902682494227804e-19  2.62439034563353033e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62949047287315335e-19 
 5.01554914489160231e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902678975064513e-19  2.62439036694261916e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62949043203144817e-19 
