 time                     v(pwm_input)             v(driver_out)            v(gate)                  v(xdriver.pwm_state)     v(xdriver.inm_state)     v(xdriver.aux_state)     v(xdriver.driver_req)    v(xdriver.drv_delay)    
 5.01554910805572796e-01  2.19189294360730846e+00  2.62883043732895979e-19  2.62620389321142337e-19  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62909309174071368e-19 
 5.01554914485680792e-01  2.19998914101537535e+00  2.62883043904085200e-19  2.62620390314175120e-19  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62909309263076198e-19 
 5.01554914496265103e-01  2.19999137281279999e+00  7.69299672904038417e-03  6.53645478393465744e-07  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  8.46223103739658297e-03 
 5.01554914517433725e-01  2.19999583640764884e+00  2.30696400658157684e-02  3.26732175998868215e-06  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  2.53762773402213468e-02 
 5.01554914536828322e-01  2.19999992593325766e+00  3.71412197329204566e-02  7.95399643372821421e-06  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  4.08545463065691367e-02 
 5.01554914555889519e-01  2.20000394515847653e+00  5.09556890991244293e-02  1.46929271024291363e-05  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  5.60497887163266331e-02 
 5.01554914594011914e-01  2.20001198360891426e+00  7.85392971382877503e-02  3.45018040251177319e-05  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  8.63897766717140053e-02 
 5.01554914670256813e-01  2.20002806053319944e+00  1.33525696547134753e-01  9.93647324933160086e-05  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.46868329728598895e-01 
 5.01554914822746611e-01  2.20006021438176980e+00  2.42779257168333679e-01  3.29443394918551050e-04  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  2.67024238545675197e-01 
 5.01554915127726098e-01  2.20012452205550080e+00  4.58441331008334008e-01  1.18603965167742562e-03  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  5.04166860143999696e-01 
 5.01554915485680652e-01  2.20020000000000016e+00  7.06796725725788999e-01  2.85453067223825734e-03  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  7.77190945231144181e-01 
 5.01554915532502643e-01  2.20020000000000016e+00  7.38862874234857081e-01  3.13109066232034093e-03  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  8.12436052592110824e-01 
 5.01554915626146736e-01  2.20020000000000016e+00  8.02823358587936409e-01  3.70803626247317520e-03  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  8.82734890820482843e-01 
 5.01554915813434921e-01  2.20020000000000016e+00  9.29719086431506136e-01  5.00400348836396811e-03  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.02219059472582052e+00 
 5.01554916188011179e-01  2.20020000000000016e+00  1.17946531563548507e+00  8.15556196938665122e-03  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.29659629100209495e+00 
 5.01554916937163697e-01  2.20020000000000016e+00  1.66321194481942514e+00  1.66294404599201043e-02  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.82787019525537553e+00 
 5.01554918435468844e-01  2.20020000000000016e+00  2.57103716383898684e+00  4.17444361039817774e-02  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  2.82396643661248747e+00 
 5.01554921266046283e-01  2.20020000000000016e+00  4.09001820210811218e+00  1.15639349592296353e-01  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  4.48745608735969448e+00 
 5.01554924879336617e-01  2.20020000000000016e+00  5.70694809564542194e+00  2.52393302150369425e-01  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  6.25240357499492738e+00 
 5.01554930143534139e-01  2.20020000000000016e+00  7.54903546451122232e+00  5.16249210465595243e-01  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  8.25231408991578519e+00 
 5.01554936769310178e-01  2.20020000000000016e+00  9.21905650077797567e+00  9.23884397737065988e-01  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.00485737110820690e+01 
 5.01554946024754256e-01  2.20020000000000016e+00  1.07457946623930880e+01  1.57277940511329195e+00  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.16630961881210702e+01 
