 time                     v(pwm_input)             v(driver_out)            v(gate)                  v(xdriver.pwm_state)     v(xdriver.inm_state)     v(xdriver.aux_state)     v(xdriver.driver_req)    v(xdriver.drv_delay)    
 5.01554910805572796e-01  2.19189294360730846e+00  3.96204807670438664e-19  4.58830358387846985e-19  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  4.32253002541885896e-19  3.89942252598697836e-19 
 5.01554914485680792e-01  2.19998914101537535e+00  3.99410518679783316e-19  4.57040364214384482e-19  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  3.77067760788578596e-19  3.93647534126323190e-19 
 5.01554914496265103e-01  2.19999137281279999e+00  1.62506164266639163e-05  1.38075543078546363e-09  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  3.16858486895995120e-02  1.78755399937872315e-05 
 5.01554914517433725e-01  2.19999583640764884e+00  8.11646757361527809e-05  9.65754157448289157e-09  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  9.49236803345078622e-02  8.92801775556106213e-05 
 5.01554914536905927e-01  2.19999994229688500e+00  1.97974799546103681e-04  3.14729922212164887e-08  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.52857870588919170e-01  2.17769132201491922e-04 
 5.01554914556027742e-01  2.20000397430399275e+00  3.65654053543681458e-04  7.47276463635905392e-08  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  2.09530497695858825e-01  4.02211986133413292e-04 
 5.01554914594271484e-01  2.20001203834161840e+00  8.57314793333886728e-04  2.62420213602173267e-07  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  3.22228017450201409e-01  9.43020030645915202e-04 
 5.01554914635512383e-01  2.20002073435704126e+00  1.61923512090522627e-03  6.72248664321828076e-07  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  4.42795574885372745e-01  1.78109140812931686e-03 
 5.01554914679682495e-01  2.20003004802330837e+00  2.69913498769551842e-03  1.43754052786860640e-06  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  5.70828654495804666e-01  2.96890473241228367e-03 
 5.01554914733633339e-01  2.20004142404503478e+00  4.38387131185689113e-03  2.97052220465360985e-06  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  7.25686492980446074e-01  4.82196139082211473e-03 
 5.01554914803378438e-01  2.20005613042775394e+00  7.14905954796191210e-03  6.19677832015359823e-06  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  9.23419965661259279e-01  7.86334582492608826e-03 
 5.01554914892929249e-01  2.20007501302350850e+00  1.16525239034803961e-02  1.29484693939043780e-05  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.17329619792619488e+00  1.28164814468890477e-02 
 5.01554915008684099e-01  2.20009942097707656e+00  1.90234784046531685e-02  2.71835554111490187e-05  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.48973475747643769e+00  2.09231078895773699e-02 
 5.01554915157735093e-01  2.20013084972265816e+00  3.10090820378224816e-02  5.70680691347135008e-05  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.88656354645704405e+00  3.41042834346912613e-02 
 5.01554915351046904e-01  2.20017161126052052e+00  5.05693069760564870e-02  1.20233433080705465e-04  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  2.38394494622779973e+00  5.56142143303540726e-02 
 5.01554915485680652e-01  2.20020000000000016e+00  6.67713772248381410e-02  1.83484414991000799e-04  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  2.71914142722442920e+00  7.34301665058228747e-02 
 5.01554915510773580e-01  2.20020000000000016e+00  7.00532223756654554e-02  1.97556986172810884e-04  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  2.78046624679733423e+00  7.70387889146147281e-02 
 5.01554915560959436e-01  2.20020000000000016e+00  7.67557305289911784e-02  2.27046420097963775e-04  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  2.90250343145173506e+00  8.44085989398805081e-02 
 5.01554915661331258e-01  2.20020000000000016e+00  9.09824358711986969e-02  2.94418715095003136e-04  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  3.14293959117044519e+00  1.00051237586809061e-01 
 5.01554915862074790e-01  2.20020000000000016e+00  1.22612800151516627e-01  4.65922741721742635e-04  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  3.60961705946821754e+00  1.34827487892496128e-01 
 5.01554916263561967e-01  2.20020000000000016e+00  1.97744042813452897e-01  9.79884273678396879e-04  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  4.48893212769184657e+00  2.17420458667430372e-01 
 5.01554916803242157e-01  2.20020000000000016e+00  3.21247546379609394e-01  2.09752638334074603e-03  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  5.56536234738058688e+00  3.53162548379236330e-01 
 5.01554917551466306e-01  2.20020000000000016e+00  5.28725252628210463e-01  4.63016665425656625e-03  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  6.87892334214007395e+00  5.81134761225605923e-01 
 5.01554918539290018e-01  2.20020000000000016e+00  8.53984403044186546e-01  1.00546725883645539e-02  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  8.33912013619351633e+00  9.38377376089768900e-01 
 5.01554919958608680e-01  2.20020000000000016e+00  1.39339572400971035e+00  2.26720954729222948e-02  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  9.99489512005646752e+00  1.53046808686338909e+00 
 5.01554922024476380e-01  2.20020000000000016e+00  2.26400257713284647e+00  5.23786661199930614e-02  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.17088015862588399e+01  2.48516496823413213e+00 
 5.01554925006881702e-01  2.20020000000000016e+00  3.56901915184007112e+00  1.20142761281317387e-01  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.32209539621814844e+01  3.91390679089594640e+00 
 5.01554928840057701e-01  2.20020000000000016e+00  5.16264705563810100e+00  2.48812987330321006e-01  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.42069020291870896e+01  5.65403046246887975e+00 
 5.01554933344824150e-01  2.20020000000000016e+00  6.78721535047348024e+00  4.52209893262605023e-01  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.46995292155887807e+01  7.42071589619456784e+00 
 5.01554939072033634e-01  2.20020000000000016e+00  8.42772719638679391e+00  7.73784301888194803e-01  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49183676732505841e+01  9.19312148583665412e+00 
