 time                     v(pwm_input)             v(driver_out)            v(gate)                  v(xdriver.pwm_state)     v(xdriver.inm_state)     v(xdriver.aux_state)     v(xdriver.driver_req)    v(xdriver.drv_delay)    
 5.01554910805569465e-01  2.19189293627987292e+00  2.62883043732893476e-19  2.62620389321141711e-19  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62909309174068671e-19 
 5.01554914485680792e-01  2.19998916440253556e+00  2.62883043904083322e-19  2.62620390314175313e-19  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62909309263074127e-19 
 5.01554914485780823e-01  2.20001025732651012e+00  7.27171718067829543e-05  5.83714128573642670e-11  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999698e+01  7.99888831503199583e-05 
 5.01554914485980774e-01  2.20005241976388888e+00  2.18150679987557246e-04  2.91856298813730587e-10  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  2.39965718800683089e-04 
 5.01554914486380676e-01  2.20013674463864684e+00  5.09012683811203392e-04  1.45926926236563654e-09  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  5.59913806265397644e-04 
 5.01554914486680659e-01  2.20020000000000016e+00  7.27170948543541420e-04  2.94783637051850761e-09  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  7.99887748614258576e-04 
 5.01554914486760595e-01  2.20020000000000016e+00  7.85341411093813777e-04  3.45216096424118489e-09  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  8.63875206987098853e-04 
 5.01554914486920578e-01  2.20020000000000016e+00  9.01681801547500779e-04  4.53552037399079890e-09  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  9.91849528150213610e-04 
 5.01554914487240544e-01  2.20020000000000016e+00  1.13435937460385481e-03  7.15049583101620121e-09  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.24779459701465732e-03 
 5.01554914487880477e-01  2.20020000000000016e+00  1.59970168961374244e-03  1.41734263330725247e-08  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.75967044123248335e-03 
 5.01554914489160342e-01  2.20020000000000016e+00  2.53033499763221986e-03  3.53908300085160241e-08  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  2.78336495831244110e-03 
 5.01554914491719961e-01  2.20020000000000016e+00  4.39139634494222896e-03  1.06508802856811335e-07  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  4.83052532855616622e-03 
 5.01554914496839310e-01  2.20020000000000016e+00  8.11269811885426302e-03  3.63453373160890357e-07  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  8.92393158540237541e-03 
 5.01554914507077898e-01  2.20020000000000016e+00  1.55520192170268481e-02  1.33598477905952116e-06  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.71070875402516281e-02 
 5.01554914527555185e-01  2.20020000000000016e+00  3.04175414735263425e-02  5.11407984090980276e-06  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  3.34587842128948876e-02 
 5.01554914568509758e-01  2.20020000000000016e+00  6.00961849904279727e-02  1.99901213184622444e-05  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  6.61038044773389344e-02 
 5.01554914650418904e-01  2.20020000000000016e+00  1.19244496441743647e-01  7.89236573087533555e-05  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.31161053720187160e-01 
 5.01554914814237085e-01  2.20020000000000016e+00  2.36710217098578951e-01  3.12737201083690603e-04  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  2.60349965088328472e-01 
 5.01554915141873447e-01  2.20020000000000016e+00  4.68357620410621345e-01  1.23798321652133971e-03  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  5.15069584130031344e-01 
 5.01554915797146172e-01  2.20020000000000016e+00  9.18826106032211376e-01  4.87067767415636909e-03  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.01022164886801691e+00 
 5.01554917107691622e-01  2.20020000000000016e+00  1.77083290530056625e+00  1.88950165687642238e-02  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.94602669417374630e+00 
 5.01554919074791994e-01  2.20020000000000016e+00  2.93613122206343480e+00  5.54743054089175056e-02  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  3.22419691372888639e+00 
 5.01554922018977001e-01  2.20020000000000016e+00  4.45485371758322923e+00  1.40505016370593233e-01  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  4.88628858770449259e+00 
 5.01554926002683477e-01  2.20020000000000016e+00  6.14680426955102632e+00  3.02939088472882978e-01  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  6.73119078765884016e+00 
 5.01554931489687550e-01  2.20020000000000016e+00  7.93917593645041375e+00  5.93427782175646734e-01  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  8.67375075187789157e+00 
 5.01554938714648846e-01  2.20020000000000016e+00  9.60572676785866442e+00  1.05442514527718223e+00  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.04608569301168135e+01 
 5.01554948472113682e-01  2.20020000000000016e+00  1.10384559801078446e+01  1.75294273141786339e+00  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.19670073049768444e+01 
 5.01554961072262828e-01  2.20020000000000016e+00  1.20842710310526140e+01  2.69715378098903802e+00  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.30229827560589744e+01 
 5.01554975951361337e-01  2.20020000000000016e+00  1.27315565194330773e+01  3.79139299263662588e+00  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.36255728721127252e+01 
 5.01554994995161874e-01  2.20020000000000016e+00  1.31703287920782426e+01  5.09170311689011879e+00  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.39781913595970568e+01 
 5.01555019858983431e-01  2.20020000000000016e+00  1.35034906519566196e+01  6.58713561375835255e+00  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.41951261557764479e+01 
 5.01555056281559497e-01  2.20020000000000016e+00  1.38350007506979633e+01  8.39195161202751372e+00  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.43793056645650097e+01 
 5.01555113428407973e-01  2.20020000000000016e+00  1.42042791899473677e+01  1.04885884080187264e+01  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.45758482681402324e+01 
 5.01555114485680686e-01  2.20020000000000016e+00  1.42098142024266814e+01  1.05199287338370997e+01  9.99990000099998944e-01  9.99900009999000154e-05  9.99990000099998944e-01  1.49999999999999716e+01  1.45788027492856429e+01 
