 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(gate)                 
 3.51508832830772999e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832830872975e-01  4.99888975241478795e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832831072981e-01  1.49994448762073929e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832831472995e-01  3.50005551237926049e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832831772977e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832831852969e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832832012952e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832832332918e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832832972906e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832834252882e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832836812835e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832841932739e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832852172493e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832872652055e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832913611124e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508832995529319e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508833159365708e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508833487038486e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508834142383986e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508834832473027e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508834963542127e-01  5.00000000000000000e+00  6.55345500089055122e-01  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508835225680327e-01  5.00000000000000000e+00  1.96603650026716537e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508835482699455e-01  5.00000000000000000e+00  3.25113214127981109e+00  1.28509558628376019e-04  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508835733783831e-01  5.00000000000000000e+00  4.50655401884603179e+00  3.79593941196678492e-04  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508835955292698e-01  5.00000000000000000e+00  5.00000000000000000e+00  6.01102789486479723e-04  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508836238723643e-01  5.00000000000000000e+00  5.00000000000000000e+00  8.84533731423064757e-04  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508836805585534e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.45139561529623504e-03  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508837939309315e-01  5.00000000000000000e+00  5.00000000000000000e+00  2.58511938304257583e-03  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508840206756878e-01  5.00000000000000000e+00  5.00000000000000000e+00  4.85256691853525740e-03  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508844741651949e-01  5.00000000000000000e+00  5.00000000000000000e+00  9.38746198952061794e-03  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508853811442090e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.84572521314913494e-02  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508871951022372e-01  5.00000000000000000e+00  5.00000000000000000e+00  3.65968324154328090e-02  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508908230182937e-01  5.00000000000000000e+00  5.00000000000000000e+00  7.28759929833157072e-02  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51508980788504066e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.45434314119081504e-01  0.00000000000000000e+00  0.00000000000000000e+00 
 3.51509032830773005e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.97476583057816041e-01  0.00000000000000000e+00  0.00000000000000000e+00 
