 time                     v(raw)                   v(hold_old)              v(hold_bad)              v(hold_safe)             v(gate_old)              v(gate_bad)              v(gate_safe)            
 1.00000000000000018e-12  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.00000000000000036e-12  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 4.00000000000000073e-12  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 8.00000000000000145e-12  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.60000000000000029e-11  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 3.20000000000000058e-11  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 6.40000000000000116e-11  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.28000000000000023e-10  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 2.56000000000000047e-10  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 5.12000000000000093e-10  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000000000000006e-09  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00200000000000006e-09  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00 
 1.00600000000000004e-09  2.50000000000000000e+00  1.99999999999999310e-02  1.99999999999999310e-02  0.00000000000000000e+00  0.00000000000000000e+00  5.99999999999997896e-02  0.00000000000000000e+00 
 1.01400000000000001e-09  2.50000000000000000e+00  5.99999999999997896e-02  5.99999999999997896e-02  0.00000000000000000e+00  0.00000000000000000e+00  1.79999999999999355e-01  0.00000000000000000e+00 
 1.02999999999999996e-09  2.50000000000000000e+00  1.39999999999999514e-01  1.39999999999999514e-01  0.00000000000000000e+00  0.00000000000000000e+00  4.19999999999998541e-01  0.00000000000000000e+00 
 1.06199999999999985e-09  2.50000000000000000e+00  2.99999999999998934e-01  2.99999999999998934e-01  0.00000000000000000e+00  0.00000000000000000e+00  8.99999999999996803e-01  0.00000000000000000e+00 
 1.12599999999999963e-09  2.50000000000000000e+00  6.19999999999997775e-01  6.19999999999997775e-01  0.00000000000000000e+00  0.00000000000000000e+00  1.85999999999999321e+00  0.00000000000000000e+00 
 1.25399999999999919e-09  2.50000000000000000e+00  1.25999999999999557e+00  1.25999999999999557e+00  0.00000000000000000e+00  0.00000000000000000e+00  3.77999999999998648e+00  0.00000000000000000e+00 
 1.50999999999999830e-09  2.50000000000000000e+00  2.50000000000000000e+00  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  7.50000000000000000e+00  0.00000000000000000e+00 
 2.02199999999999653e-09  2.50000000000000000e+00  2.50000000000000000e+00  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  7.50000000000000000e+00  0.00000000000000000e+00 
 3.02199999999999639e-09  2.50000000000000000e+00  2.50000000000000000e+00  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  7.50000000000000000e+00  0.00000000000000000e+00 
 4.02199999999999624e-09  2.50000000000000000e+00  2.50000000000000000e+00  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  7.50000000000000000e+00  0.00000000000000000e+00 
 5.02199999999999610e-09  2.50000000000000000e+00  2.50000000000000000e+00  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  7.50000000000000000e+00  0.00000000000000000e+00 
 6.02199999999999596e-09  2.50000000000000000e+00  2.50000000000000000e+00  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  7.50000000000000000e+00  0.00000000000000000e+00 
 7.02199999999999581e-09  2.50000000000000000e+00  2.50000000000000000e+00  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  7.50000000000000000e+00  0.00000000000000000e+00 
 8.02199999999999567e-09  2.50000000000000000e+00  2.50000000000000000e+00  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  7.50000000000000000e+00  0.00000000000000000e+00 
 9.02199999999999635e-09  2.50000000000000000e+00  2.50000000000000000e+00  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  7.50000000000000000e+00  0.00000000000000000e+00 
 1.00000000000000002e-08  2.50000000000000000e+00  2.50000000000000000e+00  2.50000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  7.50000000000000000e+00  0.00000000000000000e+00 
