 time                     v(vb)                   
 1.00000000000000002e-08  9.99990000099998906e-06 
 2.00000000000000004e-08  1.99997000039999481e-05 
 4.00000000000000008e-08  3.99991000159997422e-05 
 8.00000000000000017e-08  7.99967000999974090e-05 
 1.60000000000000003e-07  1.59987100747963464e-04 
 3.20000000000000007e-07  3.19948705883432835e-04 
 6.40000000000000013e-07  6.39795146866992711e-04 
 9.99999999999999955e-07  9.99500073727285733e-04 
 1.06399999999999989e-06  1.06343201407838473e-03 
 1.19199999999999998e-06  1.19128771201591440e-03 
 1.44799999999999994e-06  1.44695001758652470e-03 
 1.95999999999999987e-06  1.95807833032945805e-03 
 2.95999999999999961e-06  2.95562148042408102e-03 
 3.95999999999999935e-06  3.95216758589092294e-03 
 4.95999999999999910e-06  4.94771764327633923e-03 
 5.95999999999999884e-06  5.94227264813063701e-03 
 6.95999999999999858e-06  6.93583359500906695e-03 
 7.95999999999999833e-06  7.92840147747282502e-03 
 8.95999999999999892e-06  8.91997728809004395e-03 
 9.95999999999999951e-06  9.91056201843678285e-03 
 1.09600000000000001e-05  1.09001566590980151e-02 
 1.19600000000000007e-05  1.18887621996686330e-02 
 1.29600000000000013e-05  1.28763796287544221e-02 
 1.39600000000000019e-05  1.38630099339730577e-02 
 1.49600000000000025e-05  1.48486541019550930e-02 
 1.59600000000000030e-05  1.58333131183449431e-02 
 1.69600000000000036e-05  1.68169879678018684e-02 
 1.79600000000000042e-05  1.77996796340009616e-02 
 1.89600000000000048e-05  1.87813890996341437e-02 
 1.99600000000000054e-05  1.97621173464111177e-02 
 2.09600000000000060e-05  2.07418653550603786e-02 
 2.19600000000000066e-05  2.17206341053301812e-02 
 2.29600000000000072e-05  2.26984245759895217e-02 
 2.39600000000000078e-05  2.36752377448291064e-02 
 2.49600000000000084e-05  2.46510745886623570e-02 
 2.59600000000000089e-05  2.56259360833263616e-02 
 2.69600000000000095e-05  2.65998232036828569e-02 
 2.79600000000000101e-05  2.75727369236192059e-02 
 2.89600000000000107e-05  2.85446782160493698e-02 
 2.99600000000000113e-05  2.95156480529148793e-02 
 3.09600000000000085e-05  3.04856474051858201e-02 
 3.19600000000000057e-05  3.14546772428617866e-02 
 3.29600000000000029e-05  3.24227385349728642e-02 
 3.39600000000000001e-05  3.33898322495805866e-02 
 3.49599999999999973e-05  3.43559593537789004e-02 
 3.59599999999999945e-05  3.53211208136951574e-02 
 3.69599999999999917e-05  3.62853175944910580e-02 
 3.79599999999999889e-05  3.72485506603636232e-02 
 3.89599999999999861e-05  3.82108209745461586e-02 
 3.99599999999999833e-05  3.91721294993092328e-02 
 4.09599999999999805e-05  4.01324771959616008e-02 
 4.19599999999999777e-05  4.10918650248511888e-02 
 4.29599999999999749e-05  4.20502939453660796e-02 
 4.39599999999999721e-05  4.30077649159354355e-02 
 4.49599999999999693e-05  4.39642788940304494e-02 
 4.59599999999999665e-05  4.49198368361653569e-02 
 4.69599999999999637e-05  4.58744396978983324e-02 
 4.79599999999999609e-05  4.68280884338324738e-02 
 4.89599999999999581e-05  4.77807839976167464e-02 
 4.99599999999999553e-05  4.87325273419469684e-02 
 5.09599999999999525e-05  4.96833194185667057e-02 
 5.19599999999999497e-05  5.06331611782682850e-02 
 5.29599999999999470e-05  5.15820535708937031e-02 
 5.39599999999999442e-05  5.25299975453355911e-02 
 5.49599999999999414e-05  5.34769940495381582e-02 
 5.59599999999999386e-05  5.44230440304981286e-02 
 5.69599999999999358e-05  5.53681484342657404e-02 
 5.79599999999999330e-05  5.63123082059456201e-02 
 5.89599999999999302e-05  5.72555242896977887e-02 
 5.99599999999999274e-05  5.81977976287385707e-02 
 6.09599999999999246e-05  5.91391291653415307e-02 
 6.19599999999999285e-05  6.00795198408384384e-02 
 6.29599999999999257e-05  6.10189705956201978e-02 
 6.39599999999999229e-05  6.19574823691378257e-02 
 6.49599999999999201e-05  6.28950560999032987e-02 
 6.59599999999999174e-05  6.38316927254905936e-02 
 6.69599999999999146e-05  6.47673931825365756e-02 
 6.79599999999999118e-05  6.57021584067419423e-02 
 6.89599999999999090e-05  6.66359893328721531e-02 
 6.99599999999999062e-05  6.75688868947583177e-02 
 7.09599999999999034e-05  6.85008520252982644e-02 
 7.19599999999999006e-05  6.94318856564573733e-02 
 7.29599999999998978e-05  7.03619887192695054e-02 
 7.39599999999998950e-05  7.12911621438379467e-02 
 7.49599999999998922e-05  7.22194068593363381e-02 
 7.59599999999998894e-05  7.31467237940096465e-02 
 7.69599999999998866e-05  7.40731138751750395e-02 
 7.79599999999998838e-05  7.49985780292228427e-02 
 7.89599999999998810e-05  7.59231171816174139e-02 
 7.99599999999998782e-05  7.68467322568981703e-02 
 8.09599999999998754e-05  7.77694241786803797e-02 
 8.19599999999998726e-05  7.86911938696562008e-02 
 8.29599999999998698e-05  7.96120422515955717e-02 
 8.39599999999998670e-05  8.05319702453470843e-02 
 8.49599999999998642e-05  8.14509787708389971e-02 
 8.59599999999998614e-05  8.23690687470800265e-02 
 8.69599999999998586e-05  8.32862410921604013e-02 
 8.79599999999998558e-05  8.42024967232526955e-02 
 8.89599999999998530e-05  8.51178365566127443e-02 
 8.99599999999998502e-05  8.60322615075806291e-02 
 9.09599999999998474e-05  8.69457724905815382e-02 
 9.19599999999998446e-05  8.78583704191266829e-02 
 9.29599999999998418e-05  8.87700562058142129e-02 
 9.39599999999998390e-05  8.96808307623301326e-02 
 9.49599999999998362e-05  9.05906949994492311e-02 
 9.59599999999998334e-05  9.14996498270359698e-02 
 9.69599999999998306e-05  9.24076961540454267e-02 
 9.79599999999998278e-05  9.33148348885241286e-02 
 9.89599999999998250e-05  9.42210669376110505e-02 
 9.99599999999998222e-05  9.51263932075384760e-02 
 1.00959999999999819e-04  9.60308146036328858e-02 
 1.01959999999999817e-04  9.69343320303159006e-02 
 1.02959999999999814e-04  9.78369463911051840e-02 
 1.03959999999999811e-04  9.87386585886153162e-02 
 1.04959999999999808e-04  9.96394695245587242e-02 
 1.05959999999999805e-04  1.00539380099746556e-01 
 1.06959999999999803e-04  1.01438391214089624e-01 
 1.07959999999999800e-04  1.02336503766599266e-01 
 1.08959999999999797e-04  1.03233718655388260e-01 
 1.09959999999999794e-04  1.04130036777671714e-01 
 1.10959999999999791e-04  1.05025459029767995e-01 
 1.11959999999999789e-04  1.05919986307099562e-01 
 1.12959999999999786e-04  1.06813619504193907e-01 
 1.13959999999999783e-04  1.07706359514684463e-01 
 1.14959999999999780e-04  1.08598207231311458e-01 
 1.15959999999999777e-04  1.09489163545922835e-01 
 1.16959999999999775e-04  1.10379229349475125e-01 
 1.17959999999999772e-04  1.11268405532034376e-01 
 1.18959999999999769e-04  1.12156692982776959e-01 
 1.19959999999999766e-04  1.13044092589990555e-01 
 1.20959999999999763e-04  1.13930605241075011e-01 
 1.21959999999999761e-04  1.14816231822543205e-01 
 1.22959999999999758e-04  1.15700973220021916e-01 
 1.23959999999999755e-04  1.16584830318252758e-01 
 1.24959999999999752e-04  1.17467804001093065e-01 
 1.25959999999999749e-04  1.18349895151516754e-01 
 1.26959999999999747e-04  1.19231104651615183e-01 
 1.27959999999999744e-04  1.20111433382598054e-01 
 1.28959999999999741e-04  1.20990882224794372e-01 
 1.29959999999999738e-04  1.21869452057653149e-01 
 1.30959999999999735e-04  1.22747143759744479e-01 
 1.31959999999999733e-04  1.23623958208760237e-01 
 1.32959999999999730e-04  1.24499896281515060e-01 
 1.33959999999999727e-04  1.25374958853947310e-01 
 1.34959999999999724e-04  1.26249146801119788e-01 
 1.35959999999999721e-04  1.27122460997220604e-01 
 1.36959999999999719e-04  1.27994902315564180e-01 
 1.37959999999999716e-04  1.28866471628592105e-01 
 1.38959999999999713e-04  1.29737169807873864e-01 
 1.39959999999999710e-04  1.30606997724107887e-01 
 1.40959999999999707e-04  1.31475956247122272e-01 
 1.41959999999999705e-04  1.32344046245875785e-01 
 1.42959999999999702e-04  1.33211268588458664e-01 
 1.43959999999999699e-04  1.34077624142093371e-01 
 1.44959999999999696e-04  1.34943113773135726e-01 
 1.45959999999999694e-04  1.35807738347075574e-01 
 1.46959999999999691e-04  1.36671498728537733e-01 
 1.47959999999999688e-04  1.37534395781282820e-01 
 1.48959999999999685e-04  1.38396430368208034e-01 
 1.49959999999999682e-04  1.39257603351348180e-01 
 1.50959999999999680e-04  1.40117915591876557e-01 
 1.51959999999999677e-04  1.40977367950105542e-01 
 1.52959999999999674e-04  1.41835961285487755e-01 
 1.53959999999999671e-04  1.42693696456616725e-01 
 1.54959999999999668e-04  1.43550574321227781e-01 
 1.55959999999999666e-04  1.44406595736199017e-01 
 1.56959999999999663e-04  1.45261761557552133e-01 
 1.57959999999999660e-04  1.46116072640453121e-01 
 1.58959999999999657e-04  1.46969529839213242e-01 
 1.59959999999999654e-04  1.47822134007289968e-01 
 1.60959999999999652e-04  1.48673885997287675e-01 
 1.61959999999999649e-04  1.49524786660958559e-01 
 1.62959999999999646e-04  1.50374836849203442e-01 
 1.63959999999999643e-04  1.51224037412072743e-01 
 1.64959999999999640e-04  1.52072389198767310e-01 
 1.65959999999999638e-04  1.52919893057639089e-01 
 1.66959999999999635e-04  1.53766549836192173e-01 
 1.67959999999999632e-04  1.54612360381083586e-01 
 1.68959999999999629e-04  1.55457325538123997e-01 
 1.69959999999999626e-04  1.56301446152278811e-01 
 1.70959999999999624e-04  1.57144723067668829e-01 
 1.71959999999999621e-04  1.57987157127571193e-01 
 1.72959999999999618e-04  1.58828749174420192e-01 
 1.73959999999999615e-04  1.59669500049808066e-01 
 1.74959999999999612e-04  1.60509410594485924e-01 
 1.75959999999999610e-04  1.61348481648364517e-01 
 1.76959999999999607e-04  1.62186714050515102e-01 
 1.77959999999999604e-04  1.63024108639170273e-01 
 1.78959999999999601e-04  1.63860666251724768e-01 
