 time                     v(out)                  
 9.99999999999999955e-08  9.99900009999000154e-05 
 1.99999999999999991e-07  1.99970003999500084e-04 
 3.99999999999999982e-07  3.99910015997500482e-04 
 7.99999999999999964e-07  7.99670099974306224e-04 
 1.59999999999999993e-06  1.59871074763526222e-03 
 2.59999999999999967e-06  2.59661308571858566e-03 
 3.59999999999999941e-06  3.59351802016564387e-03 
 4.59999999999999916e-06  4.58942654788162003e-03 
 5.59999999999999890e-06  5.58433966477529103e-03 
 6.59999999999999864e-06  6.57825836576002472e-03 
 7.59999999999999839e-06  7.57118364475476823e-03 
 8.59999999999999898e-06  8.56311649468504896e-03 
 9.59999999999999957e-06  9.55405790748396419e-03 
 1.06000000000000002e-05  1.05440088740931769e-02 
 1.16000000000000007e-05  1.15329703844638965e-02 
 1.26000000000000013e-05  1.25209434275578846e-02 
 1.36000000000000019e-05  1.35079289913484328e-02 
 1.46000000000000025e-05  1.44939280628213468e-02 
 1.56000000000000031e-05  1.54789416279759468e-02 
 1.66000000000000037e-05  1.64629706718260466e-02 
 1.76000000000000043e-05  1.74460161784009311e-02 
 1.86000000000000049e-05  1.84280791307463547e-02 
 1.96000000000000055e-05  1.94091605109255223e-02 
 2.06000000000000061e-05  2.03892613000200527e-02 
 2.16000000000000066e-05  2.13683824781309741e-02 
 2.26000000000000072e-05  2.23465250243797195e-02 
 2.36000000000000078e-05  2.33236899169090746e-02 
 2.46000000000000084e-05  2.42998781328841763e-02 
 2.56000000000000090e-05  2.52750906484934881e-02 
 2.66000000000000096e-05  2.62493284389497608e-02 
 2.76000000000000102e-05  2.72225924784910388e-02 
 2.86000000000000108e-05  2.81948837403816002e-02 
 2.96000000000000114e-05  2.91662031969129529e-02 
 3.06000000000000120e-05  3.01365518194047916e-02 
 3.16000000000000092e-05  3.11059305782059835e-02 
 3.26000000000000064e-05  3.20743404426955328e-02 
 3.36000000000000036e-05  3.30417823812835451e-02 
 3.46000000000000008e-05  3.40082573614121988e-02 
 3.55999999999999980e-05  3.49737663495567133e-02 
 3.65999999999999952e-05  3.59383103112263236e-02 
 3.75999999999999924e-05  3.69018902109652311e-02 
 3.85999999999999896e-05  3.78645070123535682e-02 
 3.95999999999999868e-05  3.88261616780083835e-02 
 4.05999999999999840e-05  3.97868551695845854e-02 
 4.15999999999999812e-05  4.07465884477759069e-02 
 4.25999999999999784e-05  4.17053624723158559e-02 
 4.35999999999999756e-05  4.26631782019787006e-02 
 4.45999999999999728e-05  4.36200365945804136e-02 
 4.55999999999999700e-05  4.45759386069796287e-02 
 4.65999999999999672e-05  4.55308851950786131e-02 
 4.75999999999999644e-05  4.64848773138241619e-02 
 4.85999999999999616e-05  4.74379159172086395e-02 
 4.95999999999999588e-05  4.83900019582708882e-02 
 5.05999999999999560e-05  4.93411363890971996e-02 
 5.15999999999999532e-05  5.02913201608222379e-02 
 5.25999999999999504e-05  5.12405542236300041e-02 
 5.35999999999999476e-05  5.21888395267548141e-02 
 5.45999999999999448e-05  5.31361770184821947e-02 
 5.55999999999999420e-05  5.40825676461498747e-02 
 5.65999999999999392e-05  5.50280123561487228e-02 
 5.75999999999999364e-05  5.59725120939236834e-02 
 5.85999999999999336e-05  5.69160678039747348e-02 
 5.95999999999999308e-05  5.78586804298578186e-02 
 6.05999999999999280e-05  5.88003509141857977e-02 
 6.15999999999999252e-05  5.97410801986293857e-02 
 6.25999999999999224e-05  6.06808692239181185e-02 
 6.35999999999999196e-05  6.16197189298412148e-02 
 6.45999999999999168e-05  6.25576302552486446e-02 
 6.55999999999999140e-05  6.34946041380519965e-02 
 6.65999999999999112e-05  6.44306415152253453e-02 
 6.75999999999999084e-05  6.53657433228063134e-02 
 6.85999999999999056e-05  6.62999104958969521e-02 
 6.95999999999999028e-05  6.72331439686646576e-02 
 7.05999999999999000e-05  6.81654446743431425e-02 
 7.15999999999998972e-05  6.90968135452333515e-02 
 7.25999999999998944e-05  7.00272515127043776e-02 
 7.35999999999998916e-05  7.09567595071944335e-02 
 7.45999999999998888e-05  7.18853384582117255e-02 
 7.55999999999998860e-05  7.28129892943354395e-02 
 7.65999999999998832e-05  7.37397129432166426e-02 
 7.75999999999998804e-05  7.46655103315792268e-02 
 7.85999999999998776e-05  7.55903823852208251e-02 
 7.95999999999998748e-05  7.65143300290136996e-02 
 8.05999999999998721e-05  7.74373541869057269e-02 
 8.15999999999998693e-05  7.83594557819213139e-02 
 8.25999999999998665e-05  7.92806357361622721e-02 
 8.35999999999998637e-05  8.02008949708087754e-02 
 8.45999999999998609e-05  8.11202344061203173e-02 
 8.55999999999998581e-05  8.20386549614365301e-02 
 8.65999999999998553e-05  8.29561575551782115e-02 
 8.75999999999998525e-05  8.38727431048481992e-02 
 8.85999999999998497e-05  8.47884125270322586e-02 
 8.95999999999998469e-05  8.57031667374000411e-02 
 9.05999999999998441e-05  8.66170066507059716e-02 
 9.15999999999998413e-05  8.75299331807902065e-02 
 9.25999999999998385e-05  8.84419472405795215e-02 
 9.35999999999998357e-05  8.93530497420881864e-02 
 9.45999999999998329e-05  9.02632415964189361e-02 
 9.55999999999998301e-05  9.11725237137638450e-02 
 9.65999999999998273e-05  9.20808970034052432e-02 
 9.75999999999998245e-05  9.29883623737166876e-02 
 9.85999999999998217e-05  9.38949207321637391e-02 
 9.95999999999998189e-05  9.48005729853050039e-02 
 9.99999999999999912e-05  9.51625803546371773e-02 
 1.00099999999999994e-04  9.52530550491322708e-02 
 1.00299999999999999e-04  9.54339863449928799e-02 
 1.00699999999999995e-04  9.57957403996439749e-02 
 1.01500000000000001e-04  9.65188145776530171e-02 
 1.02499999999999998e-04  9.74218442482400471e-02 
 1.03499999999999995e-04  9.83239713404456955e-02 
 1.04499999999999992e-04  9.92251967563972798e-02 
 1.05499999999999989e-04  1.00125521397320408e-01 
 1.06499999999999987e-04  1.01024946163539978e-01 
 1.07499999999999984e-04  1.01923471954480954e-01 
 1.08499999999999981e-04  1.02821099668669369e-01 
 1.09499999999999978e-04  1.03717830203733152e-01 
 1.10499999999999975e-04  1.04613664456403077e-01 
 1.11499999999999973e-04  1.05508603322513606e-01 
 1.12499999999999970e-04  1.06402647697003847e-01 
 1.13499999999999967e-04  1.07295798473918388e-01 
 1.14499999999999964e-04  1.08188056546408215e-01 
 1.15499999999999961e-04  1.09079422806731649e-01 
 1.16499999999999959e-04  1.09969898146255129e-01 
 1.17499999999999956e-04  1.10859483455454252e-01 
 1.18499999999999953e-04  1.11748179623914562e-01 
 1.19499999999999950e-04  1.12635987540332438e-01 
 1.20499999999999947e-04  1.13522908092516014e-01 
 1.21499999999999945e-04  1.14408942167386049e-01 
 1.22499999999999942e-04  1.15294090650976871e-01 
 1.23499999999999939e-04  1.16178354428437172e-01 
 1.24499999999999936e-04  1.17061734384030933e-01 
 1.25499999999999933e-04  1.17944231401138355e-01 
 1.26499999999999931e-04  1.18825846362256654e-01 
 1.27499999999999928e-04  1.19706580149001013e-01 
 1.28499999999999925e-04  1.20586433642105417e-01 
 1.29499999999999922e-04  1.21465407721423668e-01 
 1.30499999999999919e-04  1.22343503265929979e-01 
 1.31499999999999917e-04  1.23220721153720125e-01 
 1.32499999999999914e-04  1.24097062262012267e-01 
 1.33499999999999911e-04  1.24972527467147668e-01 
 1.34499999999999908e-04  1.25847117644591777e-01 
 1.35499999999999905e-04  1.26720833668935023e-01 
 1.36499999999999903e-04  1.27593676413893603e-01 
 1.37499999999999900e-04  1.28465646752310536e-01 
 1.38499999999999897e-04  1.29336745556156346e-01 
 1.39499999999999894e-04  1.30206973696530004e-01 
 1.40499999999999891e-04  1.31076332043659871e-01 
 1.41499999999999889e-04  1.31944821466904616e-01 
 1.42499999999999886e-04  1.32812442834753824e-01 
 1.43499999999999883e-04  1.33679197014829054e-01 
 1.44499999999999880e-04  1.34545084873884696e-01 
 1.45499999999999877e-04  1.35410107277808861e-01 
 1.46499999999999875e-04  1.36274265091624130e-01 
 1.47499999999999872e-04  1.37137559179488555e-01 
 1.48499999999999869e-04  1.37999990404696432e-01 
 1.49499999999999866e-04  1.38861559629679221e-01 
 1.50499999999999863e-04  1.39722267716006376e-01 
 1.51499999999999861e-04  1.40582115524386181e-01 
 1.52499999999999858e-04  1.41441103914666688e-01 
 1.53499999999999855e-04  1.42299233745836445e-01 
 1.54499999999999852e-04  1.43156505876025492e-01 
 1.55499999999999849e-04  1.44012921162506191e-01 
 1.56499999999999847e-04  1.44868480461694121e-01 
 1.57499999999999844e-04  1.45723184629148711e-01 
 1.58499999999999841e-04  1.46577034519574323e-01 
 1.59499999999999838e-04  1.47430030986821115e-01 
 1.60499999999999836e-04  1.48282174883885759e-01 
 1.61499999999999833e-04  1.49133467062912362e-01 
 1.62499999999999830e-04  1.49983908375193320e-01 
 1.63499999999999827e-04  1.50833499671170157e-01 
