Comment,Designator,Footprint,LCSC,Price
GBJ2510-F,U1,Diode_THT:Diode_Bridge_GBJ2510,GBJ2510-F,0.00
0031.2510,U2,Fuse:Fuseholder_Cylinder-5x20mm_Schurter_FUP_0031.2510_Horizontal_Closed,0031.2510,0.00
B82726S2163N030,U3,temper:CMC_B82726S,B82726S2163N030,0.00
SL32 10015,U4,temper:SL32_10015,SL32 10015,0.00
RT33K012,U5,temper:Relay_SPST_Schrack-RT33K012,RT33K012,0.00
B32922C3224M289,U6,Capacitor_THT:C_Rect_L18.0mm_W7.0mm_P15.00mm_FKS3_FKP3,B32922C3224M289,0.00
V150LA10AP,U7,Varistor:RV_Disc_D15.5mm_W5.2mm_P7.5mm,V150LA10AP,0.00
760800301,U8,Inductor_THT_Wurth:L_Wurth_WE-TORPFC-T75,760800301,0.00
STW65N65DM2AG,U9,Package_TO_SOT_THT:TO-247-3_Vertical,STW65N65DM2AG,0.00
C3D20065D,U10,Package_TO_SOT_THT:TO-247-3_Vertical,C3D20065D,0.00
UCC28180D,U11,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,UCC28180D,0.00
HCSM2818FT10L0,U12,temper:HCSM2818FT10L0,HCSM2818FT10L0,0.00
RC1206FR-0710RL,U13,Resistor_SMD:R_1206_3216Metric,RC1206FR-0710RL,0.00
RC1206FR-0710KL,U14,Resistor_SMD:R_1206_3216Metric,RC1206FR-0710KL,0.00
RC1206FR-071KL,"U15,U50",Resistor_SMD:R_1206_3216Metric,RC1206FR-071KL,0.00
RC1206FR-07100KL,"U16,U48,U49,U51",Resistor_SMD:R_1206_3216Metric,RC1206FR-07100KL,0.00
RC2512FR-0791RL,U17,Resistor_SMD:R_2512_6332Metric,RC2512FR-0791RL,0.00
RC1206FR-07220RL,U18,Resistor_SMD:R_1206_3216Metric,RC1206FR-07220RL,0.00
RC1206FR-0716K2L,U19,Resistor_SMD:R_1206_3216Metric,RC1206FR-0716K2L,0.00
CRCW2512200KFKEG,"U20,U21,U22,U23,U24",Resistor_SMD:R_2512_6332Metric,CRCW2512200KFKEG,0.00
RC1206FR-0713KL,U25,Resistor_SMD:R_1206_3216Metric,RC1206FR-0713KL,0.00
RC1206FR-0740K2L,U26,Resistor_SMD:R_1206_3216Metric,RC1206FR-0740K2L,0.00
C0805C105K5RACTU,U27,Capacitor_SMD:C_0805_2012Metric,C0805C105K5RACTU,0.00
C0805C272J5GACTU,U28,Capacitor_SMD:C_0805_2012Metric,C0805C272J5GACTU,0.00
GRM32ER71H475KA88L,U29,Capacitor_SMD:C_1210_3225Metric,GRM32ER71H475KA88L,0.00
C0805C224K5RACTU,U30,Capacitor_SMD:C_0805_2012Metric,C0805C224K5RACTU,0.00
C0805C102J5GACTU,U31,Capacitor_SMD:C_0805_2012Metric,C0805C102J5GACTU,0.00
C0805C681J5GACTU,U32,Capacitor_SMD:C_0805_2012Metric,C0805C681J5GACTU,0.00
AO3400A,"U33,U46,U47",Package_TO_SOT_SMD:SOT-23,AO3400A,0.00
SS14,U34,Diode_SMD:D_SMA,SS14,0.00
"BAT54H,115",U35,Diode_SMD:D_SOD-123F,"BAT54H,115",0.00
LGX2W561MELC50,"U36,U37,U38,U39",Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn,LGX2W561MELC50,0.00
B32672P6474K000,U40,temper:B32672P6474K000,B32672P6474K000,0.00
VY1102M31Y5UQ63V0,U41,Capacitor_THT:C_Disc_Vishay_VY1102M31Y5UQ63V0,VY1102M31Y5UQ63V0,0.00
1714984,U42,temper:Phoenix_1714984,1714984,0.00
61300211121,"U43,U44,U45",Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,61300211121,0.00
1714971,U52,temper:Phoenix_1714971,1714971,0.00
RC2512FR-07150KL,"U53,U54",Resistor_SMD:R_2512_6332Metric,RC2512FR-07150KL,0.00
