candidate	run_kind	prerequisite	state
GBU395-SUNON2	cold_hot_start	selected_two_fan_assembly_and_limited_rail	NOT_RUN
GBU395-SUNON2	stall_brownout	approved_stall_limit_and_rail_fault_fixture	HOLD_INPUT
GBU395-SUNON2	one_fan_missing	independent_tach_channels_and_fault_circuit	HOLD_INPUT
GBU395-SUNON2	installed_flow	complete_395_duct_grille_enclosure	HOLD_INPUT
GBU395-SUNON2	blocked_flow_plausible_tach	independent_flow_sensor_and_fault_circuit	HOLD_INPUT
GBU395-SUNON2	sensor_and_joined_stop	joined_pfc_inverter_control_and_measured_loss	HOLD_ENERGIZED
GBU395-SUNON2	fan_off_heat	approved_heat_map_discharge_load_and_stop_limits	HOLD_ENERGIZED
GBU392-SANYO1	cold_hot_start	selected_sanyo_fan_assembly_and_limited_rail	NOT_RUN
GBU392-SANYO1	stall_brownout	approved_stall_limit_and_rail_fault_fixture	HOLD_INPUT
GBU392-SANYO1	installed_flow	complete_392_duct_grille_enclosure	HOLD_INPUT
GBU392-SANYO1	blocked_flow_plausible_tach	independent_flow_sensor_and_fault_circuit	HOLD_INPUT
GBU392-SANYO1	sensor_and_joined_stop	joined_pfc_inverter_control_and_measured_loss	HOLD_ENERGIZED
GBU392-SANYO1	fan_off_heat	approved_heat_map_discharge_load_and_stop_limits	HOLD_ENERGIZED
GBJ392-SANYO1	cold_hot_start	selected_sanyo_fan_assembly_and_limited_rail	NOT_RUN
GBJ392-SANYO1	stall_brownout	approved_stall_limit_and_rail_fault_fixture	HOLD_INPUT
GBJ392-SANYO1	installed_flow	complete_gbj_contact_duct_grille_enclosure	HOLD_INPUT
GBJ392-SANYO1	blocked_flow_plausible_tach	independent_flow_sensor_and_fault_circuit	HOLD_INPUT
GBJ392-SANYO1	sensor_and_joined_stop	joined_pfc_inverter_control_and_measured_loss	HOLD_ENERGIZED
GBJ392-SANYO1	fan_off_heat	approved_heat_map_discharge_load_and_stop_limits	HOLD_ENERGIZED
